Airline,Month,Passengers
CZ,3,77486.0
CZ,4,77403.0
CZ,5,82130.0
CZ,6,87569.0
CZ,7,94225.0
CZ,8,96935.0
CZ,9,81307.0
CZ,10,91077.0
CZ,11,77715.0
CZ,12,88915.0
D7,1,10277.0
D7,2,10102.0
D7,3,12177.0
D7,4,9252.0
D7,5,10021.0
D7,6,11827.0
D7,7,9412.0
D7,8,15098.0
D7,9,7788.0
D7,10,15450.0
D7,11,15578.0
D7,12,14343.0
D8,1,43740.0
D8,2,44979.0
D8,3,54165.0
D8,4,38983.0
D8,5,48352.0
D8,6,54698.0
D8,7,56229.0
D8,8,60690.0
D8,9,47908.0
D8,10,46714.0
D8,11,55320.0
D8,12,58131.0
DE,1,8786.0
DE,2,8505.0
DE,3,11065.0
DE,4,11175.0
DE,5,29606.0
DE,6,58875.0
DE,7,77980.0
DE,8,79052.0
DE,9,50583.0
DE,10,17318.0
DE,11,14033.0
DE,12,14178.0
DHQ,1,0.0
DHQ,2,0.0
DHQ,3,0.0
DHQ,4,0.0
DHQ,5,0.0
DHQ,6,0.0
DHQ,7,0.0
DHQ,8,0.0
DHQ,9,0.0
DHQ,10,0.0
DHQ,11,0.0
DHQ,12,0.0
DI,3,29620.0
DI,4,143205.0
DI,5,158581.0
DI,6,166246.0
DI,7,170216.0
DI,8,169125.0
DI,9,162870.0
DI,10,160391.0
DI,11,141235.0
DI,12,142695.0
DL,1,10651080.0
DL,2,10379281.0
DL,3,13268182.0
DL,4,12698109.0
DL,5,13456414.0
DL,6,14137061.0
DL,7,14784063.0
DL,8,14718625.0
DL,9,12245635.0
DL,10,13223767.0
DL,11,12357311.0
DL,12,12087453.0
DY,1,260982.0
DY,2,243085.0
DY,3,281335.0
DY,4,207186.0
DY,5,236407.0
DY,6,246540.0
DY,7,268381.0
DY,8,276644.0
DY,9,259951.0
DY,10,251089.0
DY,11,201862.0
DY,12,206151.0
E7,1,0.0
E7,2,0.0
E7,3,0.0
E7,4,0.0
E7,5,0.0
E7,6,0.0
E7,7,0.0
E7,8,0.0
E7,9,0.0
E7,10,0.0
E7,11,0.0
E7,12,0.0
EI,1,107156.0
EI,2,88279.0
EI,3,163249.0
EI,4,170221.0
EI,5,200280.0
EI,6,232192.0
EI,7,227149.0
EI,8,231373.0
EI,9,212542.0
EI,10,200584.0
EI,11,185256.0
EI,12,176401.0
EK,1,304169.0
EK,2,231508.0
EK,3,295538.0
EK,4,275648.0
EK,5,293847.0
EK,6,322302.0
EK,7,354629.0
EK,8,322935.0
EK,9,294283.0
EK,10,260057.0
EK,11,257528.0
EK,12,305513.0
ELL,1,5.0
ELL,2,3.0
ELL,3,2.0
ELL,4,7.0
ELL,5,25.0
ELL,6,54.0
ELL,7,80.0
ELL,8,94.0
ELL,9,44.0
ELL,10,8.0
ELL,11,4.0
ELL,12,0.0
EM,1,19606.0
EM,2,16961.0
EM,3,19627.0
EM,4,16839.0
EM,5,17555.0
EM,6,16769.0
EM,7,19491.0
EM,8,15963.0
EM,9,16037.0
EM,11,17330.0
EM,12,17055.0
EQ,1,13343.0
EQ,2,14412.0
EQ,3,19219.0
EQ,4,16893.0
EQ,5,17892.0
EQ,6,16707.0
EQ,7,19077.0
EQ,8,20240.0
EQ,9,16242.0
EQ,10,15367.0
EQ,11,15124.0
EQ,12,15937.0
ET,1,32508.0
ET,2,19880.0
ET,3,25901.0
ET,4,26632.0
ET,5,29488.0
ET,6,35296.0
ET,7,44130.0
ET,8,46342.0
ET,9,36575.0
ET,10,30439.0
ET,11,26450.0
ET,12,37849.0
EV,1,830237.0
EV,2,778430.0
EV,3,921968.0
EV,4,818501.0
EV,5,814062.0
EV,6,851490.0
EV,7,827195.0
EV,8,808943.0
EV,9,686140.0
EV,10,709344.0
EV,11,641670.0
EV,12,606600.0
EW,1,3279.0
EW,2,2290.0
EW,3,3078.0
EW,4,4027.0
EW,5,25616.0
EW,6,29057.0
EW,7,33019.0
EW,8,36016.0
EW,9,28602.0
EW,10,30578.0
EW,11,16591.0
EW,12,32790.0
EY,1,101646.0
EY,2,75782.0
EY,3,90694.0
EY,4,78950.0
EY,5,90989.0
EY,6,90895.0
EY,7,104535.0
EY,8,100877.0
EY,9,69449.0
EY,10,46679.0
EY,11,48690.0
EY,12,57385.0
F9,1,1528394.0
F9,2,1428296.0
F9,3,1617364.0
F9,4,1579202.0
F9,5,1746451.0
F9,6,1767409.0
F9,7,1837157.0
F9,8,1796275.0
F9,9,1611253.0
F9,10,1728214.0
F9,11,1614919.0
F9,12,1677327.0
FI,1,70969.0
FI,2,56968.0
FI,3,87950.0
FI,4,83998.0
FI,5,122719.0
FI,6,164154.0
FI,7,172144.0
FI,8,177183.0
FI,9,144955.0
FI,10,120679.0
FI,11,101695.0
FI,12,86162.0
FJ,1,21375.0
FJ,2,15288.0
FJ,3,17210.0
FJ,4,16701.0
FJ,5,18605.0
FJ,6,21580.0
FJ,7,24326.0
FJ,8,21641.0
FJ,9,18097.0
FJ,10,18405.0
FJ,11,16557.0
FJ,12,21062.0
FP,1,3.0
FP,3,3.0
FP,5,11.0
FP,6,8.0
FP,11,2.0
FX,1,0.0
FX,2,0.0
FX,3,0.0
FX,4,0.0
FX,5,0.0
FX,6,0.0
FX,7,0.0
FX,8,0.0
FX,9,0.0
FX,10,0.0
FX,11,0.0
FX,12,0.0
FYQ,1,11.0
FYQ,6,10.0
FYQ,7,4.0
FYQ,12,9.0
G3,2,0.0
G3,6,0.0
G3,8,0.0
G3,9,0.0
G3,10,0.0
G3,11,20441.0
G3,12,29148.0
G4,1,947467.0
G4,2,1010043.0
G4,3,1379775.0
G4,4,1175156.0
G4,5,1154944.0
G4,6,1414036.0
G4,7,1536866.0
G4,8,1193640.0
G4,9,814177.0
G4,10,1094420.0
G4,11,1099595.0
G4,12,1084505.0
G7,1,408883.0
G7,2,372244.0
G7,3,454543.0
G7,4,423860.0
G7,5,457989.0
G7,6,480216.0
G7,7,491328.0
G7,8,496497.0
G7,9,420746.0
G7,10,453124.0
G7,11,413176.0
G7,12,415788.0
GCH,1,0.0
GCH,2,0.0
GCH,3,0.0
GCH,4,0.0
GCH,5,372.0
GCH,6,0.0
GCH,7,0.0
GCH,8,0.0
GCH,9,0.0
GCH,10,0.0
GCH,12,0.0
GCQ,6,21.0
GCQ,7,79.0
GCQ,8,29.0
GCQ,9,8.0
GCQ,10,8.0
GCQ,11,11.0
GCQ,12,19.0
GFQ,1,0.0
GFQ,2,0.0
GFQ,3,0.0
GFQ,4,0.0
GFQ,5,0.0
GFQ,6,0.0
GFQ,7,0.0
GFQ,8,0.0
GFQ,9,0.0
GFQ,10,0.0
GFQ,11,0.0
GFQ,12,0.0
GL,1,8425.0
GL,2,13236.0
GL,3,20384.0
GL,4,12233.0
GL,5,10879.0
GL,6,9431.0
GL,7,9640.0
GL,8,8808.0
GL,9,5084.0
GL,10,6764.0
GL,11,10791.0
GL,12,14397.0
GU,11,7384.0
GU,12,7181.0
GV,1,8898.0
GV,2,7709.0
GV,3,9449.0
GV,4,10302.0
GV,5,12301.0
GV,6,12447.0
GV,7,13092.0
GV,8,11207.0
GV,9,9974.0
GV,10,13039.0
GV,11,10883.0
GV,12,10047.0
H6,1,24169.0
H6,2,19189.0
H6,3,21710.0
H6,4,26559.0
H6,5,29226.0
H6,6,25683.0
H6,7,23906.0
H6,8,26636.0
H6,9,23215.0
H6,10,27363.0
H6,11,20946.0
H6,12,20191.0
HA,1,954094.0
HA,2,883597.0
HA,3,1000061.0
HA,4,944592.0
HA,5,993861.0
HA,6,1028971.0
HA,7,1080633.0
HA,8,1006666.0
HA,9,902898.0
HA,10,955592.0
HA,11,921572.0
HA,12,964991.0
HBQ,1,460.0
HBQ,2,330.0
HBQ,3,327.0
HBQ,4,421.0
HBQ,5,716.0
HBQ,6,762.0
HBQ,7,1008.0
HBQ,8,939.0
HBQ,9,861.0
HBQ,10,623.0
HBQ,11,568.0
HBQ,12,552.0
HU,1,54909.0
HU,2,59005.0
HU,3,70329.0
HU,4,74675.0
HU,5,85399.0
HU,6,86913.0
HU,7,77249.0
HU,8,95232.0
HU,9,77133.0
HU,10,74236.0
HU,11,56650.0
HU,12,65974.0
HX,1,15387.0
HX,2,31250.0
HX,3,41688.0
HX,4,54350.0
HX,5,60340.0
HX,6,60364.0
HX,7,67914.0
HX,8,68808.0
HX,9,58188.0
HX,10,56864.0
HX,11,51442.0
HX,12,61442.0
HY,1,1426.0
HY,2,1129.0
HY,3,1537.0
HY,4,2281.0
HY,5,3852.0
HY,6,4125.0
HY,7,5693.0
HY,8,5232.0
HY,9,4631.0
HY,10,3134.0
HY,11,3313.0
HY,12,3769.0
I4,1,1072.0
I4,2,1236.0
I4,3,1323.0
I4,4,1464.0
I4,5,1840.0
I4,6,3107.0
I4,7,4138.0
I4,8,4220.0
I4,9,2619.0
I4,10,2035.0
I4,11,2198.0
I4,12,1480.0
IB,1,60248.0
IB,2,48151.0
IB,3,97837.0
IB,4,116989.0
IB,5,132962.0
IB,6,149367.0
IB,7,153945.0
IB,8,153932.0
IB,9,142567.0
IB,10,129843.0
IB,11,100005.0
IB,12,96305.0
IG,6,13091.0
IG,7,22199.0
IG,8,22874.0
IG,9,19195.0
IG,10,17538.0
IG,11,11376.0
IG,12,15121.0
J2,1,2363.0
J2,2,1203.0
J2,3,1971.0
J2,4,2264.0
J2,5,1567.0
J2,6,2847.0
J2,7,3429.0
J2,8,3095.0
J2,9,2565.0
J2,10,1648.0
J2,11,1203.0
J2,12,1739.0
J5,1,3087.0
J5,2,2198.0
J5,3,4250.0
J5,4,6110.0
J5,5,7913.0
J5,6,9258.0
J5,7,11611.0
J5,8,9785.0
J5,9,7186.0
J5,10,4393.0
J5,11,3312.0
J5,12,2468.0
JD,1,3397.0
JD,2,3961.0
JD,3,4494.0
JD,4,4507.0
JD,5,4458.0
JD,6,3990.0
JD,7,3931.0
JD,8,4442.0
JD,9,3869.0
JD,10,2603.0
JD,11,283.0
JD,12,3552.0
JJ,1,131331.0
JJ,2,105036.0
JJ,3,96298.0
JJ,4,89105.0
JJ,5,93945.0
JJ,6,92279.0
JJ,7,115783.0
JJ,8,102279.0
JJ,9,104237.0
JJ,10,99566.0
JJ,11,105729.0
JJ,12,121252.0
JL,1,165970.0
JL,2,164860.0
JL,3,198146.0
JL,4,176481.0
JL,5,202265.0
JL,6,219977.0
JL,7,208478.0
JL,8,223487.0
JL,9,204959.0
JL,10,208987.0
JL,11,201136.0
JL,12,191679.0
JQ,1,26094.0
JQ,2,18186.0
JQ,3,19324.0
JQ,4,21174.0
JQ,5,25688.0
JQ,6,25350.0
JQ,7,24592.0
JQ,8,21140.0
JQ,9,25205.0
JQ,10,22738.0
JQ,11,17232.0
JQ,12,20983.0
JU,1,5270.0
JU,2,2660.0
JU,3,4399.0
JU,4,5089.0
JU,5,5195.0
JU,6,9415.0
JU,7,11058.0
JU,8,11992.0
JU,9,9222.0
JU,10,6629.0
JU,11,3800.0
JU,12,5112.0
K2,1,2032.0
K2,2,1435.0
K2,3,2442.0
K2,4,2146.0
K2,5,1700.0
K2,6,1531.0
K2,7,3366.0
K2,8,3838.0
K2,9,3589.0
K2,10,4887.0
K2,12,2946.0
K3,1,288.0
K3,2,308.0
K3,3,377.0
K3,4,301.0
K3,6,3906.0
K3,7,8364.0
K3,8,8773.0
K3,9,6472.0
K3,10,440.0
K3,11,296.0
K3,12,256.0
KAH,1,2175.0
KAH,2,2419.0
KAH,3,3704.0
KAH,4,4678.0
KAH,5,7212.0
KAH,6,8358.0
KAH,7,10641.0
KAH,8,10062.0
KAH,9,7923.0
KAH,10,4951.0
KAH,11,3288.0
KAH,12,2852.0
KAQ,1,0.0
KAQ,2,0.0
KAQ,3,0.0
KAQ,4,0.0
KAQ,5,0.0
KAQ,6,0.0
KAQ,7,0.0
KAQ,8,0.0
KAQ,9,0.0
KAQ,10,0.0
KAQ,11,0.0
KAQ,12,0.0
KAT,5,76.0
KAT,6,2189.0
KAT,7,9484.0
KAT,8,3050.0
KAT,9,2450.0
KAT,10,66.0
KD,1,0.0
KD,2,0.0
KD,3,0.0
KD,4,0.0
KD,5,0.0
KD,6,0.0
KD,7,0.0
KD,8,0.0
KD,9,0.0
KD,10,0.0
KD,11,0.0
KD,12,0.0
KE,1,255296.0
KE,2,226214.0
KE,3,232050.0
KE,4,230322.0
KE,5,257241.0
KE,6,265571.0
KE,7,271503.0
KE,8,273282.0
KE,9,236213.0
KE,10,254106.0
KE,11,234766.0
KE,12,250023.0
KFQ,11,6.0
KFQ,12,5.0
KH,1,0.0
KH,2,0.0
KH,3,0.0
KH,4,0.0
KH,5,0.0
KH,6,0.0
KH,7,0.0
KH,8,0.0
KH,9,0.0
KH,10,0.0
KH,11,0.0
KH,12,0.0
KL,1,145034.0
KL,2,124403.0
KL,3,159602.0
KL,4,187030.0
KL,5,192367.0
KL,6,200591.0
KL,7,198497.0
KL,8,205337.0
KL,9,187986.0
KL,10,187371.0
KL,11,153797.0
KL,12,158131.0
KLQ,1,0.0
KLQ,2,0.0
KLQ,3,0.0
KLQ,4,0.0
KLQ,5,0.0
KLQ,6,0.0
KLQ,7,0.0
KLQ,8,0.0
KLQ,9,0.0
KLQ,10,0.0
KLQ,11,0.0
KLQ,12,0.0
KO,1,101.0
KO,2,306.0
KO,3,232.0
KO,4,491.0
KO,5,272.0
KO,6,1509.0
KO,7,1045.0
KO,8,951.0
KO,9,729.0
KO,10,318.0
KO,11,469.0
KO,12,365.0
KQ,10,788.0
KQ,11,6002.0
KQ,12,9960.0
KS,1,16532.0
KS,2,11423.0
KS,3,13794.0
KS,4,15847.0
KS,5,18209.0
KS,6,19563.0
KS,7,21177.0
KS,8,18967.0
KS,9,16221.0
KS,10,11669.0
KS,11,10451.0
KS,12,10496.0
KU,1,13814.0
KU,2,10636.0
KU,3,12671.0
KU,4,12133.0
KU,5,15370.0
KU,6,14351.0
KU,7,18438.0
KU,8,18449.0
KU,9,16284.0
KU,10,14386.0
KU,11,13715.0
KU,12,15707.0
KV,1,144670.0
KV,2,140353.0
KV,3,174332.0
KV,4,170493.0
KV,5,209461.0
KV,6,228595.0
KV,7,222525.0
KV,8,223443.0
KV,9,207830.0
KV,10,209643.0
KV,11,177526.0
KV,12,171463.0
KX,1,53175.0
KX,2,27703.0
KX,3,33209.0
KX,4,31638.0
KX,5,27058.0
KX,6,29527.0
KX,7,40527.0
KX,8,43018.0
KX,9,21026.0
KX,10,22329.0
KX,11,25306.0
KX,12,30640.0
KZ,1,0.0
KZ,2,0.0
KZ,3,0.0
KZ,4,0.0
KZ,5,0.0
KZ,6,0.0
KZ,7,0.0
KZ,8,0.0
KZ,9,0.0
KZ,10,0.0
KZ,11,0.0
KZ,12,0.0
L2,1,0.0
L2,2,0.0
L2,3,0.0
L2,4,0.0
L2,5,0.0
L2,6,0.0
L2,7,0.0
L2,8,0.0
L2,9,0.0
L2,10,0.0
L2,11,0.0
L2,12,0.0
L7,1,0.0
L7,2,0.0
L7,3,0.0
L7,4,0.0
L7,5,0.0
L7,6,0.0
L7,7,0.0
L7,8,0.0
L7,9,0.0
L7,10,0.0
L7,11,0.0
L7,12,0.0
LA,1,82146.0
LA,2,74640.0
LA,3,73465.0
LA,4,72309.0
LA,5,80257.0
LA,6,69489.0
LA,7,80559.0
LA,8,79792.0
LA,9,70425.0
LA,10,70871.0
LA,11,67186.0
LA,12,71081.0
LDM,11,2.0
LDQ,11,2.0
LF,1,6563.0
LF,2,8347.0
LF,3,10389.0
LF,4,11725.0
LF,5,13344.0
LF,6,11543.0
LF,7,7439.0
LF,8,8742.0
LF,9,9089.0
LF,10,10565.0
LF,11,10521.0
LF,12,11904.0
LH,1,408995.0
LH,2,338266.0
LH,3,484025.0
LH,4,507861.0
LH,5,554467.0
LH,6,600992.0
LH,7,618746.0
LH,8,612755.0
LH,9,582582.0
LH,10,538489.0
LH,11,446036.0
LH,12,427326.0
LJ,1,33527.0
LJ,2,6098.0
LJ,3,20151.0
LJ,4,18896.0
LJ,5,19399.0
LJ,6,30496.0
LJ,7,45179.0
LJ,8,6577.0
LJ,9,42722.0
LJ,10,43190.0
LJ,11,28855.0
LJ,12,32991.0
LO,1,34617.0
LO,2,25731.0
LO,3,37749.0
LO,4,46929.0
LO,5,64793.0
LO,6,71272.0
LO,7,81161.0
LO,8,82608.0
LO,9,69133.0
LO,10,59161.0
LO,11,42916.0
LO,12,42279.0
LP,1,52399.0
LP,2,49093.0
LP,3,48588.0
LP,4,43728.0
LP,5,48428.0
LP,6,46427.0
LP,7,48188.0
LP,8,47901.0
LP,9,42581.0
LP,10,45235.0
LP,11,44390.0
LP,12,45733.0
LR,1,25278.0
LR,2,23196.0
LR,3,26879.0
LR,4,18917.0
LR,5,15547.0
LR,6,15104.0
LR,7,19059.0
LR,8,30141.0
LR,9,27349.0
LR,10,27681.0
LR,11,27173.0
LR,12,28624.0
LS,1,455.0
LS,10,2016.0
LS,11,3695.0
LS,12,5794.0
LV,9,2924.0
LV,10,7406.0
LV,11,4014.0
LV,12,7177.0
LX,1,108976.0
LX,2,93541.0
LX,3,127466.0
LX,4,136138.0
LX,5,135777.0
LX,6,140720.0
LX,7,155814.0
LX,8,157630.0
LX,9,145517.0
LX,10,146718.0
LX,11,123427.0
LX,12,133650.0
LXQ,6,19.0
LXQ,7,7.0
LXQ,8,6.0
LXQ,9,2.0
LXQ,10,13.0
LXQ,12,6.0
LY,1,63717.0
LY,2,48941.0
LY,3,68825.0
LY,4,64452.0
LY,5,74825.0
LY,6,85049.0
LY,7,79941.0
LY,8,88285.0
LY,9,57005.0
LY,10,77196.0
LY,11,60465.0
LY,12,55659.0
M3,1,0.0
M3,2,0.0
M3,3,0.0
M3,4,0.0
M3,5,0.0
M3,6,0.0
M3,7,0.0
M3,8,0.0
M3,9,0.0
M3,10,0.0
M3,11,0.0
M3,12,0.0
M6,1,0.0
M6,2,0.0
M6,3,0.0
M6,4,0.0
M6,5,0.0
M6,6,0.0
M6,7,0.0
M6,8,0.0
M6,9,0.0
M6,10,0.0
M6,11,0.0
M6,12,0.0
M7,1,0.0
M7,2,0.0
M7,3,0.0
M7,4,0.0
M7,5,0.0
M7,6,0.0
M7,7,0.0
M7,8,0.0
M7,9,0.0
M7,10,0.0
M7,11,0.0
M7,12,0.0
MF,1,21815.0
MF,2,19406.0
MF,3,20939.0
MF,4,19197.0
MF,5,22478.0
MF,6,22502.0
MF,7,23701.0
MF,8,24444.0
MF,9,18435.0
MF,10,20108.0
MF,11,20423.0
MF,12,23027.0
MP,1,0.0
MP,2,0.0
MP,3,0.0
MP,4,0.0
MP,5,0.0
MP,6,0.0
MP,7,0.0
MP,8,0.0
MP,9,0.0
MP,10,0.0
MP,11,0.0
MP,12,0.0
MQ,1,1007785.0
MQ,2,944421.0
MQ,3,1140627.0
MQ,4,1122457.0
MQ,5,1203359.0
MQ,6,1253241.0
MQ,7,1249362.0
MQ,8,1230679.0
MQ,9,1101302.0
MQ,10,1203314.0
MQ,11,1111920.0
MQ,12,1142378.0
MS,1,13998.0
MS,2,9598.0
MS,3,13752.0
MS,4,13883.0
MS,5,14216.0
MS,6,15790.0
MS,7,19474.0
MS,8,18568.0
MS,9,16070.0
MS,10,18017.0
MS,11,18056.0
MS,12,17990.0
MT,1,8276.0
MT,2,7389.0
MT,3,17773.0
MT,4,46530.0
MT,5,71615.0
MT,6,100025.0
MT,7,106894.0
MT,8,101468.0
MT,9,91559.0
MT,10,78352.0
MT,11,23400.0
MT,12,16034.0
MU,1,111519.0
MU,2,99467.0
MU,3,106955.0
MU,4,113942.0
MU,5,120607.0
MU,6,120387.0
MU,7,122413.0
MU,8,127891.0
MU,9,114614.0
MU,10,115104.0
MU,11,105542.0
MU,12,120241.0
MW,1,22538.0
MW,2,21142.0
MW,3,23976.0
MW,4,21187.0
MW,5,22584.0
MW,6,22807.0
MW,7,25589.0
MW,8,19230.0
MW,9,18112.0
MW,10,19955.0
MW,11,20842.0
MW,12,20755.0
N8,1,1650.0
N8,2,188.0
N8,3,228.0
N8,4,3009.0
N8,5,3001.0
N8,7,6601.0
N8,8,0.0
N8,9,1896.0
N8,10,1896.0
N8,11,1406.0
N8,12,1952.0
NC,1,0.0
NC,2,0.0
NC,3,0.0
NC,4,0.0
NC,5,0.0
NC,6,0.0
NC,7,0.0
NC,8,0.0
NC,9,0.0
NC,10,0.0
NC,11,0.0
NC,12,0.0
NEW,1,1102.0
NEW,2,948.0
NEW,3,1258.0
NEW,4,1887.0
NEW,5,2460.0
NEW,6,2947.0
NEW,7,6554.0
NEW,8,6521.0
NEW,9,4147.0
NEW,10,2620.0
NEW,11,2183.0
NEW,12,1754.0
NH,1,162014.0
NH,2,162014.0
NH,3,145417.0
NH,4,142616.0
NH,5,154408.0
NH,6,165349.0
NH,7,167249.0
NH,8,170369.0
NH,9,151262.0
NH,10,147899.0
NH,11,139537.0
NH,12,143235.0
NK,1,2014618.0
NK,2,2017879.0
NK,3,2504603.0
NK,4,2360426.0
NK,5,2522719.0
NK,6,2670787.0
NK,7,2828565.0
NK,8,2792737.0
NK,9,2196156.0
NK,10,2330150.0
NK,11,2442955.0
NK,12,2591785.0
NLQ,1,42.0
NLQ,2,279.0
NLQ,3,94.0
NLQ,4,384.0
NLQ,5,280.0
NLQ,6,63.0
NLQ,7,138.0
NLQ,8,185.0
NLQ,9,114.0
NLQ,10,428.0
NLQ,11,401.0
NLQ,12,72.0
NQ,3,3238.0
NQ,4,10578.0
NQ,5,11439.0
NQ,6,13337.0
NQ,7,12729.0
NQ,8,13957.0
NQ,9,13343.0
NQ,10,12618.0
NQ,11,12580.0
NQ,12,12065.0
NZ,1,111008.0
NZ,2,94885.0
NZ,3,111744.0
NZ,4,112093.0
NZ,5,99963.0
NZ,6,111237.0
NZ,7,122851.0
NZ,8,110545.0
NZ,9,116422.0
NZ,10,114325.0
NZ,11,97447.0
NZ,12,114930.0
O6,1,23150.0
O6,2,23150.0
O6,3,18987.0
O6,4,21064.0
O6,5,24207.0
O6,6,22083.0
O6,7,23664.0
O6,8,20960.0
O6,9,21096.0
O6,10,18476.0
O6,11,19694.0
O6,12,30405.0
OH,1,1017681.0
OH,2,1042402.0
OH,3,1177814.0
OH,4,1177792.0
OH,5,1247664.0
OH,6,1090327.0
OH,7,1229054.0
OH,8,1219651.0
OH,9,988633.0
OH,10,1192758.0
OH,11,1154691.0
OH,12,1102023.0
OJ,1,5615.0
OJ,2,5931.0
OJ,3,7702.0
OJ,4,8166.0
OJ,5,8113.0
OJ,6,8846.0
OJ,7,10370.0
OJ,8,11367.0
OJ,9,9119.0
OJ,10,7442.0
OJ,11,2782.0
OO,1,2869490.0
OO,2,2722414.0
OO,3,3236886.0
OO,4,3141393.0
OO,5,3355016.0
OO,6,3520873.0
OO,7,3687100.0
OO,8,3674786.0
OO,9,3204983.0
OO,10,3479783.0
OO,11,3215626.0
OO,12,3268680.0
OR,1,4557.0
OR,2,4186.0
OR,3,5196.0
OR,4,5135.0
OR,5,5580.0
OR,6,6641.0
OR,7,5482.0
OR,8,5201.0
OR,9,4876.0
OR,10,4613.0
OR,11,4784.0
OR,12,5036.0
OS,1,26349.0
OS,2,18295.0
OS,3,32838.0
OS,4,41716.0
OS,5,35995.0
OS,6,50961.0
OS,7,66128.0
OS,8,62690.0
OS,9,56485.0
OS,10,51396.0
OS,11,28558.0
OS,12,30132.0
OZ,1,144387.0
OZ,2,131341.0
OZ,3,135025.0
OZ,4,138338.0
OZ,5,143846.0
OZ,6,151448.0
OZ,7,158616.0
OZ,8,153528.0
OZ,9,127816.0
OZ,10,129898.0
OZ,11,102025.0
OZ,12,118976.0
P3,1,0.0
P3,2,0.0
P3,3,0.0
P3,4,0.0
P3,5,0.0
P3,6,0.0
P3,7,0.0
P3,9,0.0
P3,10,0.0
P3,11,0.0
P3,12,0.0
PBQ,8,175.0
PD,1,48635.0
PD,2,43564.0
PD,3,63659.0
PD,4,67707.0
PD,5,80910.0
PD,6,90647.0
PD,7,97937.0
PD,8,109142.0
PD,9,79270.0
PD,10,82723.0
PD,11,68537.0
PD,12,70505.0
PEQ,1,0.0
PEQ,2,0.0
PEQ,3,0.0
PEQ,4,0.0
PEQ,5,0.0
PEQ,6,0.0
PEQ,7,0.0
PEQ,8,0.0
PEQ,9,0.0
PEQ,10,0.0
PEQ,11,0.0
PEQ,12,0.0
PF,4,3049.0
PF,5,16228.0
PF,6,28000.0
PF,7,31707.0
PFQ,1,0.0
PFQ,2,0.0
PFQ,3,0.0
PFQ,4,0.0
PFQ,5,0.0
PFQ,6,0.0
PFQ,7,0.0
PFQ,8,0.0
PFQ,9,0.0
PFQ,10,0.0
PFQ,11,0.0
PFQ,12,0.0
PH,1,5642.0
PH,2,3577.0
PH,3,4577.0
PH,4,6044.0
PH,5,6874.0
PH,6,6995.0
PH,7,8362.0
PH,8,7593.0
PH,9,6074.0
PH,10,4882.0
PH,11,6098.0
PH,12,8548.0
PM,1,0.0
PM,9,0.0
PM,12,0.0
PO,1,0.0
PO,2,0.0
PO,3,0.0
PO,4,0.0
PO,5,0.0
PO,6,0.0
PO,7,0.0
PO,8,0.0
PO,9,0.0
PO,10,0.0
PO,11,0.0
PO,12,0.0
PP,1,5.0
PP,4,4.0
PP,8,7.0
PP,10,2.0
PR,1,171554.0
PR,2,148527.0
PR,3,156569.0
PR,4,167121.0
PR,5,183146.0
PR,6,176742.0
PR,7,184975.0
PR,8,161911.0
PR,9,124346.0
PR,10,123994.0
PR,11,147760.0
PR,12,185063.0
PS,1,9086.0
PS,2,8271.0
PS,3,12112.0
PS,4,14373.0
PS,5,16969.0
PS,6,18664.0
PS,7,18141.0
PS,8,19712.0
PS,9,19125.0
PS,10,16654.0
PS,11,11054.0
PS,12,12304.0
PT,1,249937.0
PT,2,242306.0
PT,3,273251.0
PT,4,292627.0
PT,5,309094.0
PT,6,340334.0
PT,7,327285.0
PT,8,348828.0
PT,9,309872.0
PT,10,378273.0
PT,11,353579.0
PT,12,361780.0
PY,1,4819.0
PY,2,4311.0
PY,3,5053.0
PY,4,5386.0
PY,5,4365.0
PY,6,3587.0
PY,7,5406.0
PY,8,5937.0
PY,9,4687.0
PY,10,4272.0
PY,11,4088.0
PY,12,4326.0
Q5,1,35.0
Q5,2,29.0
Q5,3,60.0
Q5,4,71.0
Q5,5,45.0
Q5,6,81.0
Q5,7,94.0
Q5,8,65.0
Q5,9,85.0
Q5,10,71.0
Q5,11,33.0
Q5,12,50.0
Q6,8,10957.0
Q6,9,8639.0
Q6,10,9621.0
Q6,11,12314.0
Q6,12,12771.0
QF,1,146767.0
QF,2,109399.0
QF,3,125926.0
QF,4,134867.0
QF,5,133399.0
QF,6,145366.0
QF,7,144220.0
QF,8,139531.0
QF,9,136869.0
QF,10,135589.0
QF,11,129636.0
QF,12,145822.0
QK,1,107885.0
QK,2,104608.0
QK,3,121847.0
QK,4,113089.0
QK,5,153300.0
QK,6,176545.0
QK,7,192035.0
QK,8,191765.0
QK,9,162256.0
QK,10,155270.0
QK,11,128959.0
QK,12,147317.0
QR,1,181737.0
QR,2,137141.0
QR,3,168595.0
QR,4,143166.0
QR,5,152389.0
QR,6,172587.0
QR,7,189391.0
QR,8,174170.0
QR,9,133246.0
QR,10,124936.0
QR,11,130182.0
QR,12,164099.0
QT,1,0.0
QT,2,0.0
QT,3,0.0
QT,4,0.0
QT,5,0.0
QT,6,0.0
QT,8,0.0
QX,1,534743.0
QX,2,506236.0
QX,3,609575.0
QX,4,597113.0
QX,5,646391.0
QX,6,676965.0
QX,7,683488.0
QX,8,667876.0
QX,9,585556.0
QX,10,604561.0
QX,11,630366.0
QX,12,669341.0
R0,7,93.0
R0,8,216.0
R0,9,256.0
R0,10,253.0
R0,11,219.0
