Airline,Origin_Dest,Plane_Type_Text,Passengers,Airport 1,Airport 2
WN,ATL_HOU,Boeing 737-700/700LR/Max 7,360541.0,ATL,HOU
UA,BOS_DEN,Boeing 737-900ER,360159.0,BOS,DEN
EI,BOS_DUB,Airbus Industrie A330-200,359582.0,BOS,DUB
BA,LHR_SFO,Boeing 747-400,356278.0,LHR,SFO
AA,CLT_FLL,Airbus Industrie A321/Lr,356270.0,CLT,FLL
WN,BWI_TPA,Boeing 737-700/700LR/Max 7,355983.0,BWI,TPA
B6,LGA_MCO,Airbus Industrie A320-100/200,355726.0,LGA,MCO
CM,JFK_PTY,Boeing 737-800,355691.0,JFK,PTY
WN,BNA_BWI,Boeing 737-700/700LR/Max 7,355301.0,BNA,BWI
DL,LGA_MSP,Airbus Industrie A320-100/200,355249.0,LGA,MSP
DL,ATL_GRR,McDonnell Douglas DC9 Super 80/MD81/82/83/88,355030.0,ATL,GRR
DL,ATL_STL,McDonnell Douglas DC9 Super 80/MD81/82/83/88,354672.0,ATL,STL
WN,BWI_DEN,Boeing 737-800,353190.0,BWI,DEN
WN,ATL_LGA,Boeing 737-700/700LR/Max 7,353108.0,ATL,LGA
CP,LAX_SMF,Embraer ERJ-175,352478.0,LAX,SMF
DL,ATL_DFW,McDonnell Douglas DC9 Super 80/MD81/82/83/88,352317.0,ATL,DFW
AA,LGA_MIA,Boeing B737 Max 800,351864.0,LGA,MIA
QR,DOH_JFK,Boeing 777-300/300ER/333ER,351769.0,DOH,JFK
WN,OAK_SEA,Boeing 737-700/700LR/Max 7,351504.0,OAK,SEA
AA,BOS_LAX,Airbus Industrie A321/Lr,351480.0,BOS,LAX
WN,DAL_LBB,Boeing 737-700/700LR/Max 7,351474.0,DAL,LBB
DL,ATL_BDL,McDonnell Douglas DC9 Super 80/MD81/82/83/88,351440.0,ATL,BDL
AA,ORD_SAN,Boeing 737-800,351175.0,ORD,SAN
DL,JFK_SDQ,Boeing 737-900ER,348653.0,JFK,SDQ
RV,MCO_YYZ,Boeing 767-300/300ER,348031.0,MCO,YYZ
AA,PDX_PHX,Boeing 737-800,347815.0,PDX,PHX
DL,LAX_MSP,Boeing 757-200,347535.0,LAX,MSP
WN,DEN_LAS,Boeing 737-800,347207.0,DEN,LAS
AS,FAI_SEA,Boeing 737-900ER,346462.0,FAI,SEA
AA,DFW_IAH,Boeing 737-800,345929.0,DFW,IAH
WN,DEN_PHX,Boeing 737-800,345210.0,DEN,PHX
AA,PHX_SFO,Airbus Industrie A321/Lr,343843.0,PHX,SFO
DL,MSP_SEA,Boeing 757-200,342788.0,MSP,SEA
DL,ATL_CUN,Boeing 737-900ER,342645.0,ATL,CUN
WN,BUF_BWI,Boeing 737-700/700LR/Max 7,342509.0,BUF,BWI
UA,EWR_MCO,Boeing 737-900ER,342242.0,EWR,MCO
WN,OAK_PHX,Boeing 737-700/700LR/Max 7,342018.0,OAK,PHX
WN,PHX_SJC,Boeing 737-700/700LR/Max 7,341629.0,PHX,SJC
DL,ATL_ECP,McDonnell Douglas DC9 Super 80/MD81/82/83/88,341433.0,ATL,ECP
IB,MAD_MIA,Airbus Industrie A330-300,340768.0,MAD,MIA
AA,CLT_SEA,Airbus Industrie A321/Lr,339955.0,CLT,SEA
DL,ATL_DFW,Airbus Industrie A320-100/200,339699.0,ATL,DFW
UA,EWR_LAX,Boeing 777-200ER/200LR/233LR,338340.0,EWR,LAX
DL,MSP_PHX,Boeing 737-900ER,338260.0,MSP,PHX
WN,MDW_OMA,Boeing 737-700/700LR/Max 7,337978.0,MDW,OMA
BA,EWR_LHR,Boeing 777-200ER/200LR/233LR,337786.0,EWR,LHR
WN,DEN_MDW,Boeing 737-700/700LR/Max 7,337610.0,DEN,MDW
AS,PDX_SNA,Boeing 737-800,336960.0,PDX,SNA
DL,LAX_SFO,Boeing 737-800,336773.0,LAX,SFO
B6,LGB_SFO,Airbus Industrie A320-100/200,336101.0,LGB,SFO
UA,DEN_IAH,Boeing 737-800,335466.0,DEN,IAH
WN,MCO_MDW,Boeing 737-800,334296.0,MCO,MDW
DL,SLC_SNA,Boeing 717-200,331334.0,SLC,SNA
WN,PDX_SJC,Boeing 737-700/700LR/Max 7,331029.0,PDX,SJC
DL,LAS_MSP,Boeing 737-900ER,330079.0,LAS,MSP
AA,DFW_MEX,Boeing 737-800,330008.0,DFW,MEX
TK,IST_JFK,Boeing 777-300/300ER/333ER,329639.0,IST,JFK
AA,LAX_LHR,Boeing 777-300/300ER/333ER,329176.0,LAX,LHR
KV,LGA_YUL,Embraer ERJ-175,329172.0,LGA,YUL
AA,DCA_DFW,Airbus Industrie A321/Lr,329115.0,DCA,DFW
B6,LGB_SLC,Airbus Industrie A320-100/200,328788.0,LGB,SLC
AA,CLT_SAN,Airbus Industrie A321/Lr,328500.0,CLT,SAN
BA,LHR_PHL,Boeing 747-400,327918.0,LHR,PHL
CZ,CAN_LAX,Airbus Industrie A380-800,327915.0,CAN,LAX
AA,JFK_MIA,Boeing 757-200,327818.0,JFK,MIA
WN,DAL_PHX,Boeing 737-700/700LR/Max 7,327555.0,DAL,PHX
AA,BOS_PHX,Boeing 737-800,327455.0,BOS,PHX
UA,CUN_IAH,Boeing 737-900,327245.0,CUN,IAH
WN,BWI_ORF,Boeing 737-700/700LR/Max 7,326897.0,BWI,ORF
VS,LHR_MIA,Airbus Industrie A330-300,326156.0,LHR,MIA
DL,ATL_PDX,Boeing 737-900ER,325845.0,ATL,PDX
B6,JFK_LAS,Airbus Industrie A321/Lr,325536.0,JFK,LAS
B6,BOS_JFK,Embraer 190,325499.0,BOS,JFK
AA,CLT_ORD,Boeing 737-800,324959.0,CLT,ORD
WN,DEN_STL,Boeing 737-700/700LR/Max 7,324318.0,DEN,STL
B6,BOS_TPA,Airbus Industrie A320-100/200,324220.0,BOS,TPA
DL,ATL_CLT,Boeing 717-200,324130.0,ATL,CLT
WN,HOU_HRL,Boeing 737-700/700LR/Max 7,324125.0,HOU,HRL
AC,LAX_YVR,Airbus Industrie A320-100/200,323953.0,LAX,YVR
WN,PDX_SMF,Boeing 737-700/700LR/Max 7,323518.0,PDX,SMF
DL,SEA_SLC,Boeing 737-800,323413.0,SEA,SLC
DL,MSP_SFO,Boeing 737-900ER,323043.0,MSP,SFO
DL,ATL_GSP,McDonnell Douglas DC9 Super 80/MD81/82/83/88,322517.0,ATL,GSP
F9,MCO_PHL,Airbus Industrie A321/Lr,321529.0,MCO,PHL
WN,FLL_TPA,Boeing 737-700/700LR/Max 7,321418.0,FLL,TPA
UA,IAH_SFO,Boeing 737-800,321164.0,IAH,SFO
WN,AUS_DEN,Boeing 737-700/700LR/Max 7,321143.0,AUS,DEN
AA,LAS_LAX,Boeing 737-800,320846.0,LAS,LAX
AA,DFW_HNL,Boeing 777-200ER/200LR/233LR,320741.0,DFW,HNL
WN,CLE_MDW,Boeing 737-700/700LR/Max 7,320516.0,CLE,MDW
AA,CLT_CUN,Airbus Industrie A321/Lr,320448.0,CLT,CUN
EI,DUB_ORD,Airbus Industrie A330-200,320295.0,DUB,ORD
DL,ATL_PBI,Airbus Industrie A321/Lr,320177.0,ATL,PBI
AA,BOS_DFW,Airbus Industrie A321/Lr,320094.0,BOS,DFW
WN,SEA_SMF,Boeing 737-700/700LR/Max 7,319954.0,SEA,SMF
AA,DFW_DTW,Boeing 737-800,319954.0,DFW,DTW
DL,ATL_LAX,Boeing 757-200,318961.0,ATL,LAX
WN,LAS_SLC,Boeing 737-700/700LR/Max 7,317885.0,LAS,SLC
CM,LAX_PTY,Boeing 737-800,317741.0,LAX,PTY
B6,BUF_JFK,Embraer 190,317656.0,BUF,JFK
AA,MCO_PHX,Airbus Industrie A321/Lr,317504.0,MCO,PHX
VS,MAN_MCO,Boeing 747-400,317354.0,MAN,MCO
DL,ATL_BUF,McDonnell Douglas DC9 Super 80/MD81/82/83/88,317315.0,ATL,BUF
LH,FRA_ORD,Boeing B747-8,316738.0,FRA,ORD
NK,LAS_OAK,Airbus Industrie A320-100/200,316134.0,LAS,OAK
AF,CDG_LAX,Airbus Industrie A380-800,315500.0,CDG,LAX
AA,GCM_MIA,Airbus Industrie A319,314002.0,GCM,MIA
WN,ABQ_LAX,Boeing 737-700/700LR/Max 7,313872.0,ABQ,LAX
WN,ONT_SJC,Boeing 737-700/700LR/Max 7,313331.0,ONT,SJC
AS,LAX_SFO,Airbus Industrie A320-100/200,313114.0,LAX,SFO
AA,BOS_DCA,Embraer 190,312757.0,BOS,DCA
AA,MSP_ORD,Boeing 737-800,312674.0,MSP,ORD
WN,BNA_MCO,Boeing 737-700/700LR/Max 7,312213.0,BNA,MCO
DL,ATL_DTW,Boeing 757-200,311286.0,ATL,DTW
EK,DXB_SFO,Airbus Industrie A380-800,311261.0,DXB,SFO
UA,FRA_IAD,Boeing 777-200ER/200LR/233LR,310225.0,FRA,IAD
WN,AUS_PHX,Boeing 737-700/700LR/Max 7,309940.0,AUS,PHX
WN,DAL_MAF,Boeing 737-700/700LR/Max 7,309845.0,DAL,MAF
LP,LIM_MIA,Boeing 767-300/300ER,309573.0,LIM,MIA
UA,EWR_ORD,Boeing 737-900ER,309223.0,EWR,ORD
UA,CLE_ORD,Boeing 737-800,309054.0,CLE,ORD
BA,DFW_LHR,Boeing 747-400,308972.0,DFW,LHR
CP,ABQ_LAX,Embraer ERJ-175,308182.0,ABQ,LAX
DL,ATL_YYZ,McDonnell Douglas DC9 Super 80/MD81/82/83/88,308038.0,ATL,YYZ
AA,DFW_STL,McDonnell Douglas DC9 Super 80/MD81/82/83/88,307983.0,DFW,STL
AA,DEN_DFW,Boeing 737-800,307728.0,DEN,DFW
WN,ATL_FLL,Boeing 737-700/700LR/Max 7,307475.0,ATL,FLL
UA,FRA_ORD,Boeing 777-200ER/200LR/233LR,307182.0,FRA,ORD
DL,ATL_SEA,Boeing 737-900ER,306741.0,ATL,SEA
UA,DFW_ORD,Airbus Industrie A319,306043.0,DFW,ORD
OH,CLT_SAV,Canadair CRJ 900,305569.0,CLT,SAV
UA,IAH_SJO,Boeing 737-800,305289.0,IAH,SJO
AA,MCO_MIA,Boeing 737-800,304910.0,MCO,MIA
AA,DFW_MIA,Boeing 777-200ER/200LR/233LR,303547.0,DFW,MIA
WN,LAS_ONT,Boeing 737-700/700LR/Max 7,303415.0,LAS,ONT
WN,LAX_MDW,Boeing 737-800,303135.0,LAX,MDW
WN,HOU_MDW,Boeing 737-800,303010.0,HOU,MDW
YV,ABQ_PHX,Canadair CRJ 900,302502.0,ABQ,PHX
CZ,CAN_JFK,Boeing 777-300/300ER/333ER,302384.0,CAN,JFK
UA,LAX_SFO,Boeing 737-900ER,301971.0,LAX,SFO
AM,JFK_MEX,Boeing 737-800,301522.0,JFK,MEX
UA,DEN_SFO,Boeing 757-300,300917.0,DEN,SFO
WN,LGB_OAK,Boeing 737-700/700LR/Max 7,300691.0,LGB,OAK
AA,CLT_PIT,Airbus Industrie A319,300614.0,CLT,PIT
UA,EWR_LAS,Boeing 737-900ER,300179.0,EWR,LAS
B6,MCO_SJU,Airbus Industrie A320-100/200,299418.0,MCO,SJU
4O,JFK_MEX,Airbus Industrie A320-100/200,299021.0,JFK,MEX
AR,EZE_MIA,Airbus Industrie A330-200,298854.0,EZE,MIA
UA,DEN_EWR,Boeing 737-900ER,297871.0,DEN,EWR
AA,MIA_SFO,Airbus Industrie A321/Lr,297759.0,MIA,SFO
UA,IAH_ORD,Boeing 737-900ER,297553.0,IAH,ORD
AA,MIA_POS,Boeing B737 Max 800,297448.0,MIA,POS
DL,JFK_SEA,Boeing 757-200,297312.0,JFK,SEA
WN,ATL_DAL,Boeing 737-700/700LR/Max 7,296247.0,ATL,DAL
AA,DFW_SJD,Boeing 737-800,295917.0,DFW,SJD
AA,LAX_OGG,Airbus Industrie A321/Lr,295777.0,LAX,OGG
KV,BOS_YYZ,Embraer ERJ-175,295598.0,BOS,YYZ
WN,SEA_SJC,Boeing 737-700/700LR/Max 7,295555.0,SEA,SJC
AA,DFW_NRT,Boeing 777-200ER/200LR/233LR,295228.0,DFW,NRT
HA,HND_HNL,Airbus Industrie A330-200,295164.0,HND,HNL
AA,ATL_LAX,Boeing 737-800,294599.0,ATL,LAX
UA,EWR_MCO,Boeing 737-800,294053.0,EWR,MCO
DL,ATL_DAY,McDonnell Douglas DC9 Super 80/MD81/82/83/88,294011.0,ATL,DAY
DL,JFK_LAX,Boeing 757-200,293722.0,JFK,LAX
WN,CVG_MDW,Boeing 737-700/700LR/Max 7,293507.0,CVG,MDW
QX,GEG_PDX,De Havilland DHC8-400 Dash-8,293090.0,GEG,PDX
WN,DEN_HOU,Boeing 737-700/700LR/Max 7,293008.0,DEN,HOU
MQ,DFW_LIT,Embraer ERJ-175,292934.0,DFW,LIT
WN,ATL_MSY,Boeing 737-700/700LR/Max 7,292819.0,ATL,MSY
WN,DEN_MCO,Boeing 737-800,292777.0,DEN,MCO
AA,KIN_MIA,Boeing 737-800,292751.0,KIN,MIA
B6,DCA_FLL,Embraer 190,292632.0,DCA,FLL
BA,BOS_LHR,Boeing 747-400,291442.0,BOS,LHR
AA,DFW_RDU,Boeing 737-800,291385.0,DFW,RDU
AA,EWR_PHX,Boeing 737-800,290984.0,EWR,PHX
AA,CLT_JAX,Airbus Industrie A319,290509.0,CLT,JAX
EK,DXB_IAD,Airbus Industrie A380-800,290408.0,DXB,IAD
WN,BUR_SFO,Boeing 737-700/700LR/Max 7,290230.0,BUR,SFO
UA,EWR_FLL,Boeing 737-800,289855.0,EWR,FLL
DL,LAX_MCO,Boeing 757-200,289717.0,LAX,MCO
AA,DFW_TUL,Boeing 737-800,289637.0,DFW,TUL
AA,CLT_EWR,Boeing 737-800,289536.0,CLT,EWR
B6,BOS_PIT,Embraer 190,288637.0,BOS,PIT
AA,PHL_SFO,Airbus Industrie A321/Lr,288063.0,PHL,SFO
EK,DXB_LAX,Airbus Industrie A380-800,287978.0,DXB,LAX
AA,DFW_MIA,Boeing 737-800,287968.0,DFW,MIA
DL,JFK_STI,Boeing 737-900ER,287166.0,JFK,STI
DL,MCO_MSP,Boeing 757-300,286916.0,MCO,MSP
DL,DTW_LAX,Boeing 757-200,286869.0,DTW,LAX
AA,MIA_TPA,Airbus Industrie A319,286529.0,MIA,TPA
AA,AUS_ORD,Boeing 737-800,286485.0,AUS,ORD
RV,LAS_YYZ,Boeing 767-300/300ER,286396.0,LAS,YYZ
AA,BWI_MIA,Boeing 737-800,286272.0,BWI,MIA
B6,BOS_RDU,Embraer 190,286172.0,BOS,RDU
DL,DTW_MCO,Boeing 757-300,286149.0,DTW,MCO
DL,ATL_CAE,Boeing 717-200,285976.0,ATL,CAE
UA,LAX_LHR,B787-900 Dreamliner,285536.0,LAX,LHR
UA,DEN_LGA,Airbus Industrie A320-100/200,284682.0,DEN,LGA
DL,ATL_DTW,Airbus Industrie A321/Lr,284425.0,ATL,DTW
AA,CLT_PBI,Airbus Industrie A321/Lr,284293.0,CLT,PBI
AA,DFW_MSY,McDonnell Douglas DC9 Super 80/MD81/82/83/88,283961.0,DFW,MSY
WN,FLL_MCO,Boeing 737-700/700LR/Max 7,283851.0,FLL,MCO
DL,DTW_SEA,Boeing 737-900ER,282839.0,DTW,SEA
WN,DAL_ELP,Boeing 737-700/700LR/Max 7,282817.0,DAL,ELP
DL,ATL_JAX,McDonnell Douglas DC9 Super 80/MD81/82/83/88,282745.0,ATL,JAX
EK,JFK_MXP,Airbus Industrie A380-800,282272.0,JFK,MXP
NK,DTW_FLL,Airbus Industrie A321/Lr,282246.0,DTW,FLL
OH,CLT_MYR,Canadair CRJ 900,282203.0,CLT,MYR
DL,DCA_DTW,Airbus Industrie A319,282153.0,DCA,DTW
B6,BOS_PHL,Embraer 190,282108.0,BOS,PHL
AA,CLT_TPA,Airbus Industrie A320-100/200,281916.0,CLT,TPA
AS,DFW_SEA,Boeing 737-900ER,281905.0,DFW,SEA
WN,HOU_MEX,Boeing 737-700/700LR/Max 7,281697.0,HOU,MEX
AA,DFW_OMA,McDonnell Douglas DC9 Super 80/MD81/82/83/88,281660.0,DFW,OMA
B6,LGB_OAK,Airbus Industrie A320-100/200,281428.0,LGB,OAK
AA,GUA_MIA,Boeing 737-800,281374.0,GUA,MIA
B6,EWR_PBI,Airbus Industrie A320-100/200,280714.0,EWR,PBI
UA,DEN_ORD,Boeing 737-800,279406.0,DEN,ORD
AA,JFK_SFO,Airbus Industrie A321/Lr,279357.0,JFK,SFO
7C,GUM_ICN,Boeing 737-800,279030.0,GUM,ICN
AA,DFW_OKC,McDonnell Douglas DC9 Super 80/MD81/82/83/88,278902.0,DFW,OKC
LX,JFK_ZRH,Airbus Industrie A330-200,278879.0,JFK,ZRH
DL,ATL_DAB,McDonnell Douglas DC9 Super 80/MD81/82/83/88,278608.0,ATL,DAB
AA,CLT_MIA,Airbus Industrie A321/Lr,278433.0,CLT,MIA
DL,ATL_PBI,McDonnell Douglas DC9 Super 80/MD81/82/83/88,277798.0,ATL,PBI
UA,LAX_SFO,Airbus Industrie A320-100/200,277752.0,LAX,SFO
AA,CLT_MEM,Airbus Industrie A319,277744.0,CLT,MEM
BA,LHR_ORD,Airbus Industrie A380-800,277674.0,LHR,ORD
BA,LHR_SEA,Boeing 777-200ER/200LR/233LR,277650.0,LHR,SEA
WN,DEN_SMF,Boeing 737-700/700LR/Max 7,277545.0,DEN,SMF
LH,FRA_IAH,Airbus Industrie A380-800,277213.0,FRA,IAH
DL,MSP_SAN,Boeing 737-900ER,277068.0,MSP,SAN
UA,OGG_SFO,Boeing 737-800,276857.0,OGG,SFO
WN,HOU_LAS,Boeing 737-800,276725.0,HOU,LAS
AA,MSP_PHX,Boeing 737-800,276289.0,MSP,PHX
UA,SEA_SFO,Boeing 737-900ER,276090.0,SEA,SFO
BR,JFK_TPE,Boeing 777-200ER/200LR/233LR,275698.0,JFK,TPE
AA,ORD_TPA,Boeing 737-800,275538.0,ORD,TPA
UA,BOS_EWR,Boeing 737-900ER,275400.0,BOS,EWR
AA,LAX_LHR,Boeing 777-200ER/200LR/233LR,275320.0,LAX,LHR
DL,DTW_LGA,Airbus Industrie A320-100/200,275076.0,DTW,LGA
AA,MIA_SJO,Boeing 737-800,275063.0,MIA,SJO
UA,LAS_SFO,Boeing 737-800,274996.0,LAS,SFO
AA,DFW_SMF,Boeing 737-800,274957.0,DFW,SMF
UA,SAN_SFO,Boeing 737-800,274934.0,SAN,SFO
LA,MIA_SCL,B787-900 Dreamliner,273782.0,MIA,SCL
WN,MCO_MSY,Boeing 737-700/700LR/Max 7,273673.0,MCO,MSY
AA,CLT_ORF,Airbus Industrie A319,273309.0,CLT,ORF
NK,EWR_MCO,Airbus Industrie A321/Lr,273176.0,EWR,MCO
AF,CDG_JFK,Boeing 777-300/300ER/333ER,272712.0,CDG,JFK
WN,HOU_MDW,Boeing 737-700/700LR/Max 7,272587.0,HOU,MDW
AA,EWR_ORD,Boeing 737-800,272221.0,EWR,ORD
WN,DTW_MDW,Boeing 737-700/700LR/Max 7,272117.0,DTW,MDW
AA,ABQ_ORD,Boeing 737-800,272096.0,ABQ,ORD
QF,LAX_SYD,Airbus Industrie A380-800,271948.0,LAX,SYD
UA,IAD_SFO,Boeing 737-800,271947.0,IAD,SFO
UA,EWR_MCO,Boeing 757-200,271742.0,EWR,MCO
HA,LIH_OGG,Boeing 717-200,271571.0,LIH,OGG
DL,ATL_CLT,McDonnell Douglas DC9 Super 80/MD81/82/83/88,271228.0,ATL,CLT
BA,LHR_MIA,Airbus Industrie A380-800,271018.0,LHR,MIA
RV,FLL_YYZ,Boeing 767-300/300ER,271001.0,FLL,YYZ
YX,BOS_LGA,Embraer ERJ-175,270345.0,BOS,LGA
WN,DCA_STL,Boeing 737-700/700LR/Max 7,270021.0,DCA,STL
AA,DFW_MSY,Boeing 737-800,269493.0,DFW,MSY
B6,BOS_BWI,Embraer 190,269434.0,BOS,BWI
LH,FRA_SFO,Airbus Industrie A380-800,269069.0,FRA,SFO
AA,DFW_MIA,Airbus Industrie A321/Lr,268922.0,DFW,MIA
WN,ELP_PHX,Boeing 737-700/700LR/Max 7,268892.0,ELP,PHX
DL,ATL_HOU,Boeing 717-200,268672.0,ATL,HOU
AA,DFW_SAT,McDonnell Douglas DC9 Super 80/MD81/82/83/88,268546.0,DFW,SAT
UA,DEN_LAX,Boeing 757-300,268543.0,DEN,LAX
WN,MDW_PHL,Boeing 737-700/700LR/Max 7,268445.0,MDW,PHL
DL,ATL_MSP,Boeing 737-900ER,268408.0,ATL,MSP
BA,LGW_MCO,Boeing 777-200ER/200LR/233LR,268314.0,LGW,MCO
UA,EWR_IAH,Boeing 737-800,268267.0,EWR,IAH
VS,IAD_LHR,Airbus Industrie A330-300,268148.0,IAD,LHR
AS,SEA_SFO,Airbus Industrie A320-100/200,267793.0,SEA,SFO
WN,MCO_PIT,Boeing 737-700/700LR/Max 7,267611.0,MCO,PIT
WN,AMA_DAL,Boeing 737-700/700LR/Max 7,267311.0,AMA,DAL
AA,MEX_MIA,Airbus Industrie A319,267159.0,MEX,MIA
DL,LAX_OGG,Boeing 757-200,267031.0,LAX,OGG
AA,DFW_SAT,Boeing 737-800,266998.0,DFW,SAT
WN,DEN_HOU,Boeing 737-800,266930.0,DEN,HOU
WN,LAS_PDX,Boeing 737-700/700LR/Max 7,266795.0,LAS,PDX
WN,DAL_LGA,Boeing 737-700/700LR/Max 7,266788.0,DAL,LGA
AA,DFW_RSW,Boeing 737-800,266661.0,DFW,RSW
UA,IAD_LHR,Boeing 777-200ER/200LR/233LR,266488.0,IAD,LHR
AA,MIA_RDU,Boeing 737-800,266481.0,MIA,RDU
QF,LAX_MEL,Airbus Industrie A380-800,266447.0,LAX,MEL
UA,SEA_SFO,Boeing 737-800,266372.0,SEA,SFO
DL,SEA_SLC,Boeing 737-900ER,265964.0,SEA,SLC
WN,BWI_ISP,Boeing 737-700/700LR/Max 7,265324.0,BWI,ISP
DL,ATL_ORD,Boeing 717-200,265091.0,ATL,ORD
DL,LAS_SLC,Boeing 737-900ER,264756.0,LAS,SLC
WN,CMH_MCO,Boeing 737-700/700LR/Max 7,264495.0,CMH,MCO
AS,OAK_SEA,Boeing 737-900ER,264052.0,OAK,SEA
WN,MDW_PIT,Boeing 737-700/700LR/Max 7,263573.0,MDW,PIT
WN,SAN_SJC,Boeing 737-800,263501.0,SAN,SJC
WN,LAS_TUS,Boeing 737-700/700LR/Max 7,263130.0,LAS,TUS
AA,CLT_MSY,Airbus Industrie A319,262698.0,CLT,MSY
DL,ATL_CLE,McDonnell Douglas MD-90,262653.0,ATL,CLE
WN,PHX_SFO,Boeing 737-700/700LR/Max 7,262567.0,PHX,SFO
WN,HOU_PHX,Boeing 737-700/700LR/Max 7,262367.0,HOU,PHX
CI,LAX_TPE,Boeing 777-300/300ER/333ER,262144.0,LAX,TPE
MQ,DFW_XNA,Embraer ERJ-175,261996.0,DFW,XNA
AA,MIA_PHL,Boeing 767-300/300ER,261832.0,MIA,PHL
DL,ATL_LHR,Airbus Industrie A330-300,261824.0,ATL,LHR
WN,BNA_TPA,Boeing 737-700/700LR/Max 7,261346.0,BNA,TPA
WN,MDW_TPA,Boeing 737-700/700LR/Max 7,261131.0,MDW,TPA
DL,JFK_SJU,Boeing 737-900ER,260749.0,JFK,SJU
DL,ATL_MDW,Boeing 717-200,260029.0,ATL,MDW
DL,ATL_PBI,Boeing 757-200,259232.0,ATL,PBI
WN,ABQ_OAK,Boeing 737-700/700LR/Max 7,259038.0,ABQ,OAK
F9,DEN_SLC,Airbus Industrie A321/Lr,258984.0,DEN,SLC
WN,DAL_LAX,Boeing 737-700/700LR/Max 7,258849.0,DAL,LAX
WN,BNA_DAL,Boeing 737-700/700LR/Max 7,258442.0,BNA,DAL
LH,FRA_MIA,Airbus Industrie A380-800,258212.0,FRA,MIA
WN,ABQ_SAN,Boeing 737-700/700LR/Max 7,257522.0,ABQ,SAN
DL,ATL_SJU,Boeing 737-900ER,257392.0,ATL,SJU
WN,BNA_MCI,Boeing 737-700/700LR/Max 7,257385.0,BNA,MCI
WN,LAS_SAT,Boeing 737-700/700LR/Max 7,256555.0,LAS,SAT
AS,BOS_SEA,Boeing 737-900ER,256446.0,BOS,SEA
WN,DAL_TUL,Boeing 737-700/700LR/Max 7,256424.0,DAL,TUL
F9,DEN_LAS,Airbus Industrie A321/Lr,256297.0,DEN,LAS
WN,ATL_LAS,Boeing 737-800,256129.0,ATL,LAS
AC,LAX_YYZ,B787-900 Dreamliner,256011.0,LAX,YYZ
DL,ATL_DTW,Boeing 737-900ER,255678.0,ATL,DTW
OO,LGA_ORD,Embraer ERJ-175,255363.0,LGA,ORD
WN,DAL_DCA,Boeing 737-800,254817.0,DAL,DCA
WN,LAX_MDW,Boeing 737-700/700LR/Max 7,254788.0,LAX,MDW
DL,ATL_TPA,Boeing 737-900ER,254645.0,ATL,TPA
AA,LHR_RDU,Boeing 777-200ER/200LR/233LR,254150.0,LHR,RDU
OH,CHS_CLT,Canadair CRJ 900,253797.0,CHS,CLT
DL,ATL_DSM,McDonnell Douglas DC9 Super 80/MD81/82/83/88,253312.0,ATL,DSM
DL,ATL_LAX,Boeing 737-900ER,253294.0,ATL,LAX
DL,DTW_FLL,Boeing 757-200,253239.0,DTW,FLL
NK,BWI_FLL,Airbus Industrie A321/Lr,253194.0,BWI,FLL
DL,FLL_LGA,Airbus Industrie A320-100/200,253032.0,FLL,LGA
B6,DCA_MCO,Embraer 190,252880.0,DCA,MCO
AA,BWI_CLT,Boeing 737-800,252600.0,BWI,CLT
AA,PHX_SAT,Airbus Industrie A319,252514.0,PHX,SAT
YX,DCA_LGA,Embraer-Emb-170,252375.0,DCA,LGA
AA,DFW_MIA,Boeing 757-200,252301.0,DFW,MIA
WN,BNA_MSY,Boeing 737-700/700LR/Max 7,252227.0,BNA,MSY
WN,MDW_SAN,Boeing 737-800,251880.0,MDW,SAN
AS,EWR_SEA,Boeing 737-900ER,251870.0,EWR,SEA
DL,MSP_PDX,Boeing 737-900ER,251714.0,MSP,PDX
YV,IAH_MTY,Embraer ERJ-175,251542.0,IAH,MTY
UA,LAS_SFO,Airbus Industrie A320-100/200,251093.0,LAS,SFO
AS,SEA_SMF,Boeing 737-900ER,251006.0,SEA,SMF
WN,BOS_MDW,Boeing 737-700/700LR/Max 7,250737.0,BOS,MDW
UA,EWR_FLL,Boeing 737-900ER,250095.0,EWR,FLL
TN,LAX_PPT,Airbus Industrie A340-300,249976.0,LAX,PPT
WN,HOU_LAX,Boeing 737-700/700LR/Max 7,249796.0,HOU,LAX
DL,LHR_MSP,Boeing 767-300/300ER,249572.0,LHR,MSP
CP,LAX_SAN,Embraer ERJ-175,249021.0,LAX,SAN
UA,GUA_IAH,Boeing 737-800,248784.0,GUA,IAH
KV,EWR_YYZ,Embraer ERJ-175,248626.0,EWR,YYZ
SY,LAS_MSP,Boeing 737-800,248622.0,LAS,MSP
AA,DFW_MCI,Boeing 737-800,248464.0,DFW,MCI
WN,MCI_STL,Boeing 737-700/700LR/Max 7,248323.0,MCI,STL
UA,IAD_LHR,B787-800 Dreamliner,247732.0,IAD,LHR
AA,MIA_PUJ,Airbus Industrie A321/Lr,247451.0,MIA,PUJ
VS,LHR_SEA,B787-900 Dreamliner,247292.0,LHR,SEA
DL,ATL_MSP,Airbus Industrie A321/Lr,247183.0,ATL,MSP
DL,ATL_EYW,Boeing 737-700/700LR/Max 7,247033.0,ATL,EYW
DL,BOS_DTW,Airbus Industrie A320-100/200,246454.0,BOS,DTW
AA,AUS_LAX,Boeing 737-800,246385.0,AUS,LAX
AA,FLL_PHL,Airbus Industrie A321/Lr,246237.0,FLL,PHL
