Airline,Origin_Dest,Plane_Type_Text,Passengers,Airport 1,Airport 2
AA,LGA_MIA,Boeing 737-800,628194.0,LGA,MIA
DL,ATL_AUS,Airbus Industrie A321/Lr,627152.0,ATL,AUS
DL,ATL_IND,McDonnell Douglas DC9 Super 80/MD81/82/83/88,625826.0,ATL,IND
AA,DEN_DFW,Airbus Industrie A321/Lr,622183.0,DEN,DFW
VS,JFK_LHR,Airbus Industrie A340-600,621968.0,JFK,LHR
WN,LAX_PHX,Boeing 737-700/700LR/Max 7,618876.0,LAX,PHX
AA,LAX_PHL,Airbus Industrie A321/Lr,618441.0,LAX,PHL
WN,HOU_MSY,Boeing 737-700/700LR/Max 7,616986.0,HOU,MSY
WN,LAS_PHX,Boeing 737-700/700LR/Max 7,614746.0,LAS,PHX
WN,LAS_SJC,Boeing 737-700/700LR/Max 7,614130.0,LAS,SJC
WN,SAN_SMF,Boeing 737-700/700LR/Max 7,610319.0,SAN,SMF
UA,DEN_IAH,Boeing 737-900ER,608913.0,DEN,IAH
UA,LHR_ORD,Boeing 767-300/300ER,601784.0,LHR,ORD
BR,LAX_TPE,Boeing 777-200ER/200LR/233LR,595113.0,LAX,TPE
DL,ATL_PHX,Airbus Industrie A321/Lr,590700.0,ATL,PHX
UA,HNL_SFO,Boeing 777-200ER/200LR/233LR,590271.0,HNL,SFO
WN,BUR_SMF,Boeing 737-700/700LR/Max 7,589685.0,BUR,SMF
WN,LAX_SMF,Boeing 737-700/700LR/Max 7,588765.0,LAX,SMF
WN,OAK_SNA,Boeing 737-700/700LR/Max 7,588127.0,OAK,SNA
AA,MCO_PHL,Airbus Industrie A321/Lr,587776.0,MCO,PHL
WN,SAN_SFO,Boeing 737-700/700LR/Max 7,587247.0,SAN,SFO
AA,DFW_PHL,Airbus Industrie A321/Lr,585711.0,DFW,PHL
AA,DCA_MIA,Boeing 737-800,585396.0,DCA,MIA
B6,JFK_SFO,Airbus Industrie A321/Lr,582996.0,JFK,SFO
AA,CLT_DEN,Airbus Industrie A321/Lr,582899.0,CLT,DEN
DL,ATL_RSW,Boeing 757-200,582101.0,ATL,RSW
WN,BUR_SJC,Boeing 737-700/700LR/Max 7,578566.0,BUR,SJC
B6,EWR_MCO,Airbus Industrie A320-100/200,578279.0,EWR,MCO
BA,LAS_LHR,Boeing 747-400,575710.0,LAS,LHR
BA,BOS_LHR,Boeing 777-200ER/200LR/233LR,568398.0,BOS,LHR
UA,ORD_SFO,Boeing 757-300,565896.0,ORD,SFO
UA,BOS_SFO,Boeing 757-200,564448.0,BOS,SFO
BA,IAD_LHR,Boeing 747-400,563872.0,IAD,LHR
WN,ABQ_LAS,Boeing 737-700/700LR/Max 7,559688.0,ABQ,LAS
AA,CLT_SFO,Airbus Industrie A321/Lr,559382.0,CLT,SFO
AA,CLT_ORD,Airbus Industrie A321/Lr,559115.0,CLT,ORD
AA,CLT_LHR,Airbus Industrie A330-300,558432.0,CLT,LHR
BR,SFO_TPE,Boeing 777-200ER/200LR/233LR,557988.0,SFO,TPE
AA,AUS_DFW,Airbus Industrie A321/Lr,557480.0,AUS,DFW
DL,ATL_LGA,Airbus Industrie A320-100/200,557054.0,ATL,LGA
UA,LAX_SFO,Boeing 737-800,554318.0,LAX,SFO
WN,LAS_OAK,Boeing 737-700/700LR/Max 7,553781.0,LAS,OAK
CX,HKG_SFO,Boeing 777-300/300ER/333ER,552906.0,HKG,SFO
CM,MIA_PTY,Boeing 737-800,551668.0,MIA,PTY
AS,LAX_SEA,Boeing 737-900ER,550366.0,LAX,SEA
AA,BOS_DCA,Airbus Industrie A319,549629.0,BOS,DCA
AA,MIA_ORD,Boeing 737-800,548298.0,MIA,ORD
WN,SMF_SNA,Boeing 737-700/700LR/Max 7,548193.0,SMF,SNA
HA,HNL_LAX,Airbus Industrie A330-200,546476.0,HNL,LAX
AA,PHL_PHX,Airbus Industrie A321/Lr,545331.0,PHL,PHX
WN,BOS_BWI,Boeing 737-700/700LR/Max 7,543470.0,BOS,BWI
DL,ATL_BHM,McDonnell Douglas DC9 Super 80/MD81/82/83/88,541659.0,ATL,BHM
DL,ATL_RIC,McDonnell Douglas DC9 Super 80/MD81/82/83/88,541267.0,ATL,RIC
AS,LAS_SEA,Boeing 737-900ER,540033.0,LAS,SEA
UA,IAH_LAX,Boeing 737-900ER,539108.0,IAH,LAX
WN,MCI_MDW,Boeing 737-700/700LR/Max 7,537983.0,MCI,MDW
CX,HKG_LAX,Boeing 777-300/300ER/333ER,537789.0,HKG,LAX
UA,DEN_ORD,Boeing 737-900ER,537588.0,DEN,ORD
WN,LAS_SMF,Boeing 737-700/700LR/Max 7,537216.0,LAS,SMF
DL,ATL_SAN,Airbus Industrie A321/Lr,535913.0,ATL,SAN
WN,PHX_SNA,Boeing 737-700/700LR/Max 7,535235.0,PHX,SNA
AA,DFW_FLL,Boeing 737-800,534153.0,DFW,FLL
AA,CUN_DFW,Airbus Industrie A321/Lr,532097.0,CUN,DFW
AA,BOS_CLT,Airbus Industrie A321/Lr,531686.0,BOS,CLT
AA,DFW_SLC,Boeing 737-800,530299.0,DFW,SLC
QX,PDX_SEA,De Havilland DHC8-400 Dash-8,528881.0,PDX,SEA
WN,DEN_LAX,Boeing 737-700/700LR/Max 7,523921.0,DEN,LAX
AA,HNL_LAX,Airbus Industrie A321/Lr,519539.0,HNL,LAX
DL,JFK_SFO,Boeing 757-200,518668.0,JFK,SFO
DL,ATL_ORD,McDonnell Douglas DC9 Super 80/MD81/82/83/88,515540.0,ATL,ORD
B6,JFK_STI,Airbus Industrie A321/Lr,515229.0,JFK,STI
B6,JFK_SDQ,Airbus Industrie A321/Lr,512626.0,JFK,SDQ
DL,ATL_SLC,Airbus Industrie A321/Lr,512556.0,ATL,SLC
WN,ONT_SMF,Boeing 737-700/700LR/Max 7,511067.0,ONT,SMF
UA,IAH_LHR,Boeing 777-200ER/200LR/233LR,510778.0,IAH,LHR
B6,BOS_DCA,Embraer 190,509425.0,BOS,DCA
AA,MIA_SJU,Boeing 737-800,506411.0,MIA,SJU
AA,JFK_LHR,Boeing 777-300/300ER/333ER,505760.0,JFK,LHR
CP,LAX_SFO,Embraer ERJ-175,505028.0,LAX,SFO
AA,CUN_MIA,Boeing 737-800,503445.0,CUN,MIA
UA,IAD_LAX,Boeing 737-900ER,501797.0,IAD,LAX
DL,ATL_SAV,McDonnell Douglas DC9 Super 80/MD81/82/83/88,501410.0,ATL,SAV
UA,EWR_SFO,Boeing 777-200ER/200LR/233LR,500299.0,EWR,SFO
WN,OAK_ONT,Boeing 737-700/700LR/Max 7,499450.0,OAK,ONT
BA,JFK_LHR,Boeing 777-200ER/200LR/233LR,499428.0,JFK,LHR
CX,HKG_JFK,Boeing 777-300/300ER/333ER,497354.0,HKG,JFK
WN,LGA_MDW,Boeing 737-700/700LR/Max 7,495803.0,LGA,MDW
DL,ATL_SFO,Boeing 737-900ER,495502.0,ATL,SFO
AA,BOS_MIA,Boeing 737-800,495119.0,BOS,MIA
WN,DAL_MSY,Boeing 737-700/700LR/Max 7,494543.0,DAL,MSY
B6,BOS_MCO,Airbus Industrie A321/Lr,491848.0,BOS,MCO
WN,BWI_PVD,Boeing 737-700/700LR/Max 7,491225.0,BWI,PVD
AA,LHR_MIA,Boeing 777-300/300ER/333ER,491172.0,LHR,MIA
WN,MDW_PHX,Boeing 737-800,490787.0,MDW,PHX
WN,DEN_MDW,Boeing 737-800,490698.0,DEN,MDW
KE,ICN_LAX,Airbus Industrie A380-800,488831.0,ICN,LAX
AA,DFW_TUS,Boeing 737-800,487932.0,DFW,TUS
DL,ATL_EWR,McDonnell Douglas DC9 Super 80/MD81/82/83/88,486417.0,ATL,EWR
B6,BOS_FLL,Airbus Industrie A320-100/200,485985.0,BOS,FLL
BA,LHR_PHX,Boeing 747-400,485086.0,LHR,PHX
AA,CLT_LAS,Airbus Industrie A321/Lr,484877.0,CLT,LAS
AM,LAX_MEX,Boeing 737-800,482099.0,LAX,MEX
WN,DEN_LAS,Boeing 737-700/700LR/Max 7,479350.0,DEN,LAS
WN,MDW_MSP,Boeing 737-700/700LR/Max 7,479055.0,MDW,MSP
AA,CLT_TPA,Airbus Industrie A321/Lr,478039.0,CLT,TPA
DL,ATL_PNS,McDonnell Douglas DC9 Super 80/MD81/82/83/88,477093.0,ATL,PNS
DL,ATL_TPA,Airbus Industrie A321/Lr,476317.0,ATL,TPA
AA,CLT_PHL,Airbus Industrie A321/Lr,476165.0,CLT,PHL
AA,MCO_ORD,Boeing 737-800,475048.0,MCO,ORD
DL,ATL_MSY,Boeing 757-200,474271.0,ATL,MSY
WN,DEN_MCI,Boeing 737-700/700LR/Max 7,473458.0,DEN,MCI
DL,ATL_LIT,McDonnell Douglas DC9 Super 80/MD81/82/83/88,472459.0,ATL,LIT
AA,DFW_TPA,Boeing 737-800,471911.0,DFW,TPA
DL,ATL_TPA,Boeing 757-200,471591.0,ATL,TPA
HA,HNL_LAS,Airbus Industrie A330-200,471039.0,HNL,LAS
WN,LAS_SNA,Boeing 737-700/700LR/Max 7,470746.0,LAS,SNA
AA,BNA_DFW,Boeing 737-800,469479.0,BNA,DFW
AS,PHX_SEA,Boeing 737-900ER,469166.0,PHX,SEA
DL,ATL_ORF,McDonnell Douglas DC9 Super 80/MD81/82/83/88,466474.0,ATL,ORF
PR,MNL_SFO,Boeing 777-200ER/200LR/233LR,464742.0,MNL,SFO
UA,ORD_SFO,Boeing 737-900ER,463398.0,ORD,SFO
DL,ATL_CVG,Boeing 737-800,463009.0,ATL,CVG
B6,LAS_LGB,Airbus Industrie A320-100/200,461219.0,LAS,LGB
DL,ABQ_ATL,Boeing 737-900ER,459552.0,ABQ,ATL
DL,LAX_SEA,Boeing 737-800,459126.0,LAX,SEA
AS,SEA_SJC,Boeing 737-900ER,458473.0,SEA,SJC
AA,DFW_ORD,Airbus Industrie A321/Lr,455984.0,DFW,ORD
WN,ABQ_DEN,Boeing 737-700/700LR/Max 7,455214.0,ABQ,DEN
WN,DAL_MCI,Boeing 737-700/700LR/Max 7,455001.0,DAL,MCI
AA,DCA_DFW,Boeing 737-800,454740.0,DCA,DFW
WN,ONT_PHX,Boeing 737-700/700LR/Max 7,454643.0,ONT,PHX
AA,BOS_PHL,Airbus Industrie A321/Lr,453130.0,BOS,PHL
