Airline,Airport,Route_Type,Destination_Region,Passengers
9E,CAK,Domestic,Domestic,29307.0
EW,MIA,International,Domestic,29282.0
OO,LWS,Domestic,Domestic,29276.0
OH,TRI,Domestic,Domestic,29269.0
OR,AMS,International,International,29256.0
YV,FSM,Domestic,Domestic,29217.0
G7,DAY,Domestic,Domestic,29150.0
B6,STX,Domestic,Domestic,29149.0
KV,MSY,International,Domestic,29142.0
YV,SAV,Domestic,Domestic,29121.0
G7,DEN,International,Domestic,29116.0
G4,GFK,Domestic,Domestic,29058.0
YV,COS,Domestic,Domestic,29053.0
G4,CHS,Domestic,Domestic,29049.0
UA,TKK,International,International,29002.0
AX,DAY,Domestic,Domestic,28994.0
MQ,LCH,Domestic,Domestic,28975.0
Y4,SEA,International,Domestic,28963.0
G7,MLI,Domestic,Domestic,28909.0
CM,TPA,International,Domestic,28852.0
PT,BGR,Domestic,Domestic,28846.0
EV,DAY,Domestic,Domestic,28834.0
EV,ROC,Domestic,Domestic,28829.0
QX,SUN,Domestic,Domestic,28821.0
EV,RST,Domestic,Domestic,28791.0
AA,EDI,International,International,28771.0
1WQ,LUK,Domestic,Domestic,28744.0
G7,DSM,Domestic,Domestic,28652.0
OO,SWF,Domestic,Domestic,28633.0
PF,EWR,International,Domestic,28602.0
HU,LAS,International,Domestic,28558.0
B6,LIR,International,International,28508.0
G7,IAH,Domestic,Domestic,28459.0
CI,GUM,International,Domestic,28397.0
YV,CHA,Domestic,Domestic,28389.0
YV,BFL,Domestic,Domestic,28322.0
4O,SFO,International,Domestic,28282.0
ZW,ERI,Domestic,Domestic,28276.0
5D,QRO,International,International,28267.0
PT,LEX,Domestic,Domestic,28243.0
AX,DSM,Domestic,Domestic,28223.0
PT,BDL,Domestic,Domestic,28205.0
CP,OMA,Domestic,Domestic,28195.0
D8,PTP,International,International,28190.0
PY,MIA,International,Domestic,28128.0
EW,RSW,International,Domestic,28120.0
ET,LAX,International,Domestic,28100.0
EV,AGU,International,International,28085.0
OO,MEI,Domestic,Domestic,28084.0
YX,LGA,International,Domestic,28084.0
OO,EGE,Domestic,Domestic,28080.0
DL,YEG,International,International,28066.0
EV,LCH,Domestic,Domestic,28040.0
FI,MCO,International,Domestic,28013.0
OO,PLN,Domestic,Domestic,28009.0
OO,COD,Domestic,Domestic,27971.0
UA,ATH,International,International,27944.0
VB,IAH,International,Domestic,27921.0
EV,BMI,Domestic,Domestic,27894.0
OO,BJI,Domestic,Domestic,27816.0
AX,FAR,Domestic,Domestic,27790.0
ZW,EVV,Domestic,Domestic,27765.0
G7,BNA,Domestic,Domestic,27695.0
9E,BHM,Domestic,Domestic,27672.0
OH,PIA,Domestic,Domestic,27667.0
C5,MDT,Domestic,Domestic,27654.0
YR,1G4,Domestic,Domestic,27651.0
AX,COS,Domestic,Domestic,27641.0
F9,TYS,Domestic,Domestic,27627.0
5D,SLC,International,Domestic,27600.0
DL,CID,Domestic,Domestic,27583.0
EI,SEA,International,Domestic,27574.0
YX,LEX,Domestic,Domestic,27552.0
OO,PHL,Domestic,Domestic,27548.0
9E,ATW,Domestic,Domestic,27513.0
EQ,FLL,International,Domestic,27498.0
VS,GLA,International,International,27496.0
QK,BDL,International,Domestic,27459.0
BF,PPT,International,International,27449.0
WS,DEN,International,Domestic,27396.0
OO,ABR,Domestic,Domestic,27393.0
OO,CHS,Domestic,Domestic,27379.0
C5,ITH,Domestic,Domestic,27374.0
LY,BOS,International,Domestic,27331.0
A0,EWR,International,Domestic,27314.0
ZW,BNA,Domestic,Domestic,27306.0
AX,ROC,Domestic,Domestic,27292.0
NK,STI,International,International,27278.0
AS,LTO,International,International,27271.0
EV,YHZ,International,International,27256.0
AX,ICT,Domestic,Domestic,27224.0
AI,AMD,International,International,27211.0
MQ,FSD,Domestic,Domestic,27207.0
G4,DEN,Domestic,Domestic,27152.0
DI,AUS,International,Domestic,27133.0
B6,ANC,Domestic,Domestic,27123.0
CM,DEN,International,Domestic,27094.0
VH,MIA,International,Domestic,27081.0
WG,FLL,International,Domestic,27063.0
MQ,PWM,Domestic,Domestic,27054.0
EQ,GYE,International,International,27028.0
C5,GSO,Domestic,Domestic,27023.0
AA,BUD,International,International,27015.0
EV,SLP,International,International,26981.0
EV,MSN,Domestic,Domestic,26955.0
MQ,BMI,Domestic,Domestic,26951.0
AX,ELP,Domestic,Domestic,26949.0
MQ,BPT,Domestic,Domestic,26932.0
ZX,CLT,International,Domestic,26930.0
OO,GCC,Domestic,Domestic,26893.0
F9,GEG,Domestic,Domestic,26849.0
AX,SGF,Domestic,Domestic,26828.0
5D,DTW,International,Domestic,26798.0
5D,SAT,International,Domestic,26763.0
AA,VVI,International,International,26733.0
YX,SAV,Domestic,Domestic,26694.0
AZ,ORD,International,Domestic,26688.0
SY,PSP,Domestic,Domestic,26646.0
NK,KIN,International,International,26641.0
ZW,SDF,Domestic,Domestic,26623.0
WS,KOA,International,Domestic,26575.0
SK,BOS,International,Domestic,26542.0
CP,BUR,Domestic,Domestic,26542.0
OH,SHV,Domestic,Domestic,26531.0
9K,SPN,Domestic,Domestic,26523.0
PT,ABE,Domestic,Domestic,26515.0
AA,PRG,International,International,26455.0
QX,LWS,Domestic,Domestic,26452.0
IB,OAK,International,Domestic,26406.0
AM,DTW,International,Domestic,26404.0
OO,MAF,Domestic,Domestic,26372.0
C5,IND,Domestic,Domestic,26348.0
EV,OKC,Domestic,Domestic,26273.0
YV,MKE,Domestic,Domestic,26244.0
HA,PPG,Domestic,Domestic,26230.0
UA,CTU,International,International,26227.0
5D,JFK,International,Domestic,26172.0
MQ,CUU,International,International,26164.0
MQ,ICT,Domestic,Domestic,26156.0
JJ,FOR,International,International,26154.0
9K,GUM,Domestic,Domestic,26151.0
AA,BJX,International,International,26147.0
YX,GSO,Domestic,Domestic,26118.0
KL,SLC,International,Domestic,26106.0
EV,RDU,Domestic,Domestic,26010.0
UA,MKE,Domestic,Domestic,25989.0
AS,CUN,International,International,25972.0
D8,FDF,International,International,25962.0
YV,EVV,Domestic,Domestic,25958.0
VX,SFO,International,Domestic,25937.0
DL,PHF,Domestic,Domestic,25858.0
ZW,AVP,Domestic,Domestic,25834.0
G4,ROC,Domestic,Domestic,25727.0
OO,ROW,Domestic,Domestic,25707.0
B6,CMW,International,International,25670.0
KS,DUT,Domestic,Domestic,25651.0
TA,MGA,International,International,25631.0
EV,EYW,Domestic,Domestic,25611.0
B6,HOG,International,International,25604.0
PT,BTV,Domestic,Domestic,25559.0
PT,ERI,Domestic,Domestic,25556.0
VB,CUN,International,International,25432.0
SY,PVR,International,International,25398.0
AA,LPB,International,International,25386.0
OS,LAX,International,Domestic,25378.0
TA,DFW,International,Domestic,25342.0
YX,GGT,International,International,25324.0
SA,DSS,International,International,25315.0
CI,HNL,International,Domestic,25307.0
YV,OMA,Domestic,Domestic,25253.0
F9,CLE,International,Domestic,25210.0
9E,GTR,Domestic,Domestic,25198.0
8R,LAS,International,Domestic,25194.0
MQ,LAN,Domestic,Domestic,25181.0
WS,LIH,International,Domestic,25082.0
YV,RIC,Domestic,Domestic,25076.0
OH,MGM,Domestic,Domestic,25071.0
VX,HNL,Domestic,Domestic,25069.0
5J,GUM,International,Domestic,25038.0
MQ,SPI,Domestic,Domestic,24975.0
AX,PIT,Domestic,Domestic,24950.0
AS,PDX,International,Domestic,24940.0
CA,SZX,International,International,24914.0
EV,ABE,Domestic,Domestic,24913.0
OO,MHT,Domestic,Domestic,24872.0
MW,JHM,Domestic,Domestic,24862.0
OO,BTM,Domestic,Domestic,24838.0
G7,MDT,Domestic,Domestic,24833.0
9K,STX,Domestic,Domestic,24819.0
EV,BWI,Domestic,Domestic,24808.0
UA,AVL,Domestic,Domestic,24803.0
F9,PNS,Domestic,Domestic,24795.0
UA,FAT,Domestic,Domestic,24792.0
DL,CRW,Domestic,Domestic,24789.0
3M,ELH,International,International,24760.0
MQ,SWO,Domestic,Domestic,24758.0
VX,ORD,Domestic,Domestic,24753.0
7H,ADQ,Domestic,Domestic,24749.0
TA,IAH,International,Domestic,24731.0
MQ,BJX,International,International,24722.0
G4,ELP,Domestic,Domestic,24693.0
YV,DSM,Domestic,Domestic,24686.0
5J,MNL,International,International,24648.0
MQ,AZO,Domestic,Domestic,24637.0
MQ,GCK,Domestic,Domestic,24637.0
ZW,HSV,Domestic,Domestic,24531.0
IB,SJU,International,Domestic,24531.0
KS,AKN,Domestic,Domestic,24530.0
WW,JFK,International,Domestic,24522.0
DL,TVC,Domestic,Domestic,24510.0
3U,CAN,International,International,24497.0
CA,HNL,International,Domestic,24450.0
F9,SDF,Domestic,Domestic,24438.0
WS,YUL,International,International,24416.0
VX,MCO,Domestic,Domestic,24411.0
G4,SAT,Domestic,Domestic,24386.0
VH,MDE,International,International,24383.0
3M,FPO,International,International,24305.0
QK,PHX,International,Domestic,24273.0
8V,FAI,Domestic,Domestic,24262.0
MF,SEA,International,Domestic,24244.0
MQ,MDT,Domestic,Domestic,24219.0
9E,ABE,Domestic,Domestic,24158.0
OO,HSV,Domestic,Domestic,23972.0
DY,DEN,International,Domestic,23952.0
YX,HHH,Domestic,Domestic,23951.0
AV,BOS,International,Domestic,23878.0
3U,TNA,International,International,23872.0
9E,MBS,Domestic,Domestic,23868.0
AD,BEL,International,International,23845.0
OH,FWA,Domestic,Domestic,23831.0
EV,DSM,Domestic,Domestic,23823.0
B0,ORY,International,International,23776.0
UA,ELP,Domestic,Domestic,23764.0
OO,RHI,Domestic,Domestic,23735.0
NK,SAL,International,International,23727.0
OH,EVV,Domestic,Domestic,23725.0
GV,ANC,Domestic,Domestic,23662.0
QK,PHL,International,Domestic,23629.0
UA,ROR,International,International,23615.0
9K,BIL,Domestic,Domestic,23610.0
DL,EVV,Domestic,Domestic,23504.0
Y4,IAH,International,Domestic,23490.0
YV,SYR,Domestic,Domestic,23473.0
G7,MSP,International,Domestic,23440.0
DL,PIT,International,Domestic,23422.0
3U,HGH,International,International,23397.0
TP,OPO,International,International,23382.0
OO,HYS,Domestic,Domestic,23375.0
DL,MGA,International,International,23357.0
QX,OKC,Domestic,Domestic,23354.0
AF,PAP,International,International,23343.0
UA,HAM,International,International,23310.0
F9,SMF,Domestic,Domestic,23302.0
WW,DTW,International,Domestic,23232.0
AX,HPN,Domestic,Domestic,23228.0
MQ,GGG,Domestic,Domestic,23226.0
F9,ORF,Domestic,Domestic,23216.0
C5,GRR,Domestic,Domestic,23205.0
PT,DTW,Domestic,Domestic,23194.0
MU,NKG,International,International,23191.0
G4,SJU,Domestic,Domestic,23145.0
G7,ROC,Domestic,Domestic,23100.0
B6,SNU,International,International,23099.0
G7,BDL,Domestic,Domestic,23094.0
FI,SFO,International,Domestic,23088.0
EV,BTV,Domestic,Domestic,23064.0
YX,LFT,Domestic,Domestic,22990.0
VI,VQS,Domestic,Domestic,22985.0
9E,CID,Domestic,Domestic,22958.0
B6,PSP,Domestic,Domestic,22947.0
EV,HOB,Domestic,Domestic,22946.0
9X,PIT,Domestic,Domestic,22942.0
OO,CMX,Domestic,Domestic,22907.0
OO,CIU,Domestic,Domestic,22891.0
NK,PUJ,International,International,22825.0
K3,WFB,Domestic,Domestic,22804.0
FJ,SFO,International,Domestic,22735.0
4O,MCO,International,Domestic,22728.0
G4,PSP,Domestic,Domestic,22692.0
ZW,XNA,Domestic,Domestic,22675.0
YV,HRL,Domestic,Domestic,22645.0
G7,LEX,Domestic,Domestic,22621.0
AX,DIK,Domestic,Domestic,22617.0
ZW,PIA,Domestic,Domestic,22612.0
OO,AVP,Domestic,Domestic,22518.0
UA,OPO,International,International,22517.0
QK,YYZ,International,International,22505.0
QX,HLN,Domestic,Domestic,22472.0
AX,TYS,Domestic,Domestic,22454.0
DL,RAP,Domestic,Domestic,22446.0
MT,GLA,International,International,22432.0
MQ,NAS,International,International,22422.0
RV,SRQ,International,Domestic,22413.0
SY,MIA,Domestic,Domestic,22360.0
WS,MIA,International,Domestic,22330.0
YX,CMW,International,International,22314.0
G4,SMX,Domestic,Domestic,22312.0
MQ,TOL,Domestic,Domestic,22236.0
GV,ENA,Domestic,Domestic,22234.0
YV,OAK,Domestic,Domestic,22230.0
OO,RKS,Domestic,Domestic,22218.0
PT,ART,Domestic,Domestic,22215.0
CP,FAT,Domestic,Domestic,22207.0
EV,BGR,Domestic,Domestic,22206.0
Y4,DFW,International,Domestic,22204.0
AX,IDA,Domestic,Domestic,22193.0
C5,CLE,Domestic,Domestic,22184.0
YR,PGA,Domestic,Domestic,22182.0
EV,HPN,Domestic,Domestic,22176.0
NK,LIM,International,International,22172.0
AC,FLL,International,Domestic,22162.0
ZW,FAY,Domestic,Domestic,22153.0
UA,GLA,International,International,22091.0
MQ,ALO,Domestic,Domestic,22041.0
MQ,PHL,Domestic,Domestic,21954.0
AJQ,DEN,Domestic,Domestic,21947.0
OO,ILM,Domestic,Domestic,21937.0
B6,ANU,International,International,21930.0
DL,CTG,International,International,21923.0
EM,JHM,Domestic,Domestic,21920.0
AX,AMA,Domestic,Domestic,21875.0
UA,DLH,Domestic,Domestic,21863.0
C5,MHT,Domestic,Domestic,21816.0
9E,VLD,Domestic,Domestic,21755.0
JD,HGH,International,International,21748.0
JD,SPN,International,Domestic,21739.0
MQ,FPO,International,International,21737.0
DL,SNN,International,International,21727.0
FI,PDX,International,Domestic,21698.0
PT,GRR,Domestic,Domestic,21658.0
UP,FPO,International,International,21656.0
EV,JAX,Domestic,Domestic,21634.0
VX,OGG,Domestic,Domestic,21631.0
AA,DAY,Domestic,Domestic,21557.0
C5,GSP,Domestic,Domestic,21549.0
SU,IAD,International,Domestic,21541.0
HY,JFK,International,Domestic,21535.0
G4,TRI,Domestic,Domestic,21529.0
G7,CLT,Domestic,Domestic,21514.0
F9,LIT,Domestic,Domestic,21509.0
MQ,EWR,Domestic,Domestic,21477.0
UA,TYS,Domestic,Domestic,21467.0
OO,VLD,Domestic,Domestic,21455.0
G7,MHT,Domestic,Domestic,21354.0
ZW,SGF,Domestic,Domestic,21343.0
MF,SZX,International,International,21288.0
C5,CMH,Domestic,Domestic,21267.0
EV,MFE,Domestic,Domestic,21255.0
9E,CRW,Domestic,Domestic,21237.0
G7,ALB,Domestic,Domestic,21174.0
09Q,GUA,International,International,21132.0
OO,EAU,Domestic,Domestic,21117.0
YV,MLM,International,International,21096.0
B6,CUR,International,International,21070.0
KS,DLG,Domestic,Domestic,21065.0
QK,DFW,International,Domestic,21052.0
ZW,CHA,Domestic,Domestic,21045.0
MT,LAX,International,Domestic,21037.0
OO,PAH,Domestic,Domestic,21016.0
MQ,BZN,Domestic,Domestic,20933.0
MQ,GNV,Domestic,Domestic,20925.0
WS,YQR,International,International,20893.0
OO,JMS,Domestic,Domestic,20880.0
PT,IPT,Domestic,Domestic,20872.0
5D,AUS,International,Domestic,20866.0
PF,STN,International,International,20857.0
YX,MID,International,International,20856.0
G7,PVD,Domestic,Domestic,20855.0
QK,IAD,International,Domestic,20812.0
G7,MTJ,Domestic,Domestic,20808.0
B6,MVY,Domestic,Domestic,20796.0
MQ,BIL,Domestic,Domestic,20766.0
VX,DCA,Domestic,Domestic,20738.0
C5,PVD,Domestic,Domestic,20723.0
PT,CHS,Domestic,Domestic,20705.0
9E,AUS,Domestic,Domestic,20699.0
MQ,FNT,Domestic,Domestic,20650.0
MQ,FSM,Domestic,Domestic,20642.0
PT,BWI,Domestic,Domestic,20621.0
YX,COS,Domestic,Domestic,20592.0
G4,FCA,Domestic,Domestic,20570.0
F9,PSP,Domestic,Domestic,20496.0
G4,SHV,Domestic,Domestic,20487.0
UA,KEF,International,International,20445.0
EV,HRL,Domestic,Domestic,20444.0
OH,TUL,Domestic,Domestic,20388.0
G4,HGR,Domestic,Domestic,20379.0
G7,GRB,Domestic,Domestic,20367.0
AA,SNN,International,International,20344.0
VI,JRV,Domestic,Domestic,20318.0
TS,YQB,International,International,20316.0
8E,OME,Domestic,Domestic,20304.0
AX,FCA,Domestic,Domestic,20290.0
UA,MAJ,International,International,20277.0
VX,AUS,Domestic,Domestic,20227.0
MU,TAO,International,International,20182.0
IB,SFO,International,Domestic,20162.0
MQ,GRI,Domestic,Domestic,20161.0
YX,PBI,Domestic,Domestic,20156.0
YX,IAD,Domestic,Domestic,20150.0
CM,MSY,International,Domestic,20144.0
AA,GLA,International,International,20128.0
G7,TUL,Domestic,Domestic,20073.0
GL,PUJ,International,International,20063.0
NK,AXM,International,International,20047.0
AY,SFO,International,Domestic,20029.0
G4,PIT,International,Domestic,20010.0
G4,STC,Domestic,Domestic,20003.0
AC,OGG,International,Domestic,19984.0
OR,SFB,International,Domestic,19975.0
DL,CPH,International,International,19970.0
IG,MIA,International,Domestic,19950.0
BY,LGW,International,International,19931.0
1BQ,SNU,International,International,19920.0
OO,COU,Domestic,Domestic,19907.0
YX,GSP,Domestic,Domestic,19883.0
MQ,ROW,Domestic,Domestic,19868.0
1BQ,PUJ,International,International,19847.0
AX,GRR,Domestic,Domestic,19844.0
9E,AEX,Domestic,Domestic,19836.0
AC,YHZ,International,International,19806.0
MQ,EVV,Domestic,Domestic,19786.0
ZW,TVC,Domestic,Domestic,19736.0
WW,CVG,International,Domestic,19730.0
Q6,SAL,International,International,19678.0
OO,MTJ,Domestic,Domestic,19672.0
9E,AVP,Domestic,Domestic,19658.0
OO,BTV,Domestic,Domestic,19656.0
38Q,RIW,Domestic,Domestic,19651.0
AX,LBB,Domestic,Domestic,19645.0
ZW,LIT,Domestic,Domestic,19593.0
YX,BWI,Domestic,Domestic,19584.0
BY,MAN,International,International,19574.0
EV,SYR,Domestic,Domestic,19559.0
TA,ORD,International,Domestic,19545.0
VX,PHL,Domestic,Domestic,19544.0
OO,IMT,Domestic,Domestic,19523.0
OO,BRD,Domestic,Domestic,19507.0
9E,EWN,Domestic,Domestic,19506.0
G4,EVV,Domestic,Domestic,19487.0
OO,ABY,Domestic,Domestic,19435.0
C5,BDL,Domestic,Domestic,19433.0
MQ,MQT,Domestic,Domestic,19401.0
ZX,MEM,International,Domestic,19385.0
GV,BET,Domestic,Domestic,19384.0
UA,STT,Domestic,Domestic,19344.0
YV,BIS,Domestic,Domestic,19344.0
QX,MCI,Domestic,Domestic,19337.0
MQ,MSY,Domestic,Domestic,19334.0
WS,YXE,International,International,19333.0
ZX,MKE,International,Domestic,19329.0
KV,DEN,International,Domestic,19291.0
8E,OTZ,Domestic,Domestic,19290.0
ZW,ABE,Domestic,Domestic,19274.0
VX,DEN,Domestic,Domestic,19262.0
CA,SJC,International,Domestic,19198.0
BA,OAK,International,Domestic,19196.0
ZW,COU,Domestic,Domestic,19184.0
YV,YEG,International,International,19154.0
MQ,LSE,Domestic,Domestic,19147.0
AX,ALB,Domestic,Domestic,19122.0
9E,ABY,Domestic,Domestic,19115.0
OO,TPA,Domestic,Domestic,19110.0
AA,KEF,International,International,19095.0
PT,HTS,Domestic,Domestic,19093.0
PT,PGV,Domestic,Domestic,19085.0
EV,MHK,Domestic,Domestic,19078.0
MQ,GGT,International,International,19064.0
YX,TUL,Domestic,Domestic,19025.0
AX,HDN,Domestic,Domestic,19023.0
Y4,RNO,International,Domestic,19015.0
OH,MSY,Domestic,Domestic,18985.0
AX,MSO,Domestic,Domestic,18930.0
AX,LIT,Domestic,Domestic,18881.0
YX,MTY,International,International,18864.0
EW,LAS,International,Domestic,18848.0
JJ,BOS,International,Domestic,18747.0
HA,PEK,International,International,18744.0
EV,CHS,Domestic,Domestic,18738.0
NK,SJD,International,International,18710.0
YV,STS,Domestic,Domestic,18669.0
F9,FSD,Domestic,Domestic,18623.0
PT,ILM,Domestic,Domestic,18600.0
D8,BFS,International,International,18585.0
DL,PSC,Domestic,Domestic,18579.0
YX,YHZ,International,International,18527.0
ZW,CWA,Domestic,Domestic,18466.0
MQ,CAE,Domestic,Domestic,18462.0
G4,SPI,Domestic,Domestic,18432.0
AX,OMA,Domestic,Domestic,18393.0
WW,STL,International,Domestic,18390.0
YX,MYR,Domestic,Domestic,18359.0
3E,STL,Domestic,Domestic,18351.0
3M,GGT,International,International,18342.0
9E,YOW,International,International,18320.0
OO,GTR,Domestic,Domestic,18314.0
ZW,DEN,Domestic,Domestic,18309.0
CP,XNA,Domestic,Domestic,18299.0
AX,XNA,Domestic,Domestic,18281.0
G4,LIT,Domestic,Domestic,18273.0
QX,MMH,Domestic,Domestic,18226.0
MT,SFO,International,Domestic,18178.0
PF,CDG,International,International,18123.0
PT,BOS,Domestic,Domestic,18122.0
CP,PVR,International,International,18093.0
AC,AUS,International,Domestic,17999.0
OO,FAY,Domestic,Domestic,17991.0
09Q,STL,International,Domestic,17985.0
ZW,LEX,Domestic,Domestic,17983.0
Y4,AGU,International,International,17943.0
AA,MLB,Domestic,Domestic,17936.0
AX,MLI,Domestic,Domestic,17931.0
DL,HDN,Domestic,Domestic,17928.0
8R,TPA,International,Domestic,17926.0
AX,BGR,Domestic,Domestic,17923.0
C5,MEM,Domestic,Domestic,17895.0
UA,ARN,International,International,17863.0
EY,DFW,International,Domestic,17850.0
EV,ATW,Domestic,Domestic,17844.0
G4,OGD,Domestic,Domestic,17832.0
AX,GUC,Domestic,Domestic,17793.0
7H,FAI,Domestic,Domestic,17783.0
AY,MIA,International,Domestic,17745.0
OO,EKO,Domestic,Domestic,17731.0
9E,TUL,Domestic,Domestic,17670.0
PY,GEO,International,International,17621.0
NEW,BID,Domestic,Domestic,17615.0
WS,YOW,International,International,17597.0
SEB,EIS,International,International,17586.0
Y4,DGO,International,International,17503.0
38Q,DEN,Domestic,Domestic,17502.0
OO,ESC,Domestic,Domestic,17501.0
G7,RDM,Domestic,Domestic,17493.0
AX,DRO,Domestic,Domestic,17491.0
DE,PDX,International,Domestic,17490.0
YX,CZM,International,International,17478.0
EV,BUF,Domestic,Domestic,17449.0
YX,YOW,International,International,17408.0
SEB,SPB,Domestic,Domestic,17408.0
PT,EWN,Domestic,Domestic,17400.0
AS,PIT,Domestic,Domestic,17362.0
9K,MVY,Domestic,Domestic,17304.0
ZW,PWM,Domestic,Domestic,17291.0
ZW,CID,Domestic,Domestic,17253.0
WW,DFW,International,Domestic,17234.0
EV,TLH,Domestic,Domestic,17223.0
G4,CKB,Domestic,Domestic,17219.0
MQ,GRB,Domestic,Domestic,17217.0
09Q,SNU,International,International,17204.0
ZW,ORF,Domestic,Domestic,17180.0
4O,PVR,International,International,17175.0
YX,SLC,Domestic,Domestic,17136.0
QX,ANC,Domestic,Domestic,17117.0
SEB,SSB,Domestic,Domestic,17115.0
G7,AZO,Domestic,Domestic,17081.0
ZW,STL,Domestic,Domestic,17041.0
MQ,JLN,Domestic,Domestic,16997.0
G7,TVC,Domestic,Domestic,16931.0
KL,MIA,International,Domestic,16915.0
WW,CLE,International,Domestic,16900.0
F9,SAV,Domestic,Domestic,16884.0
ZW,LAN,Domestic,Domestic,16864.0
EV,AVL,Domestic,Domestic,16833.0
EV,JLN,Domestic,Domestic,16786.0
G7,ROA,Domestic,Domestic,16772.0
NEW,WST,Domestic,Domestic,16766.0
DL,SPN,International,Domestic,16765.0
PT,AGS,Domestic,Domestic,16764.0
DL,AGP,International,International,16686.0
G7,DRO,Domestic,Domestic,16665.0
B6,ONT,Domestic,Domestic,16634.0
Q6,LAX,International,Domestic,16609.0
XP,HAV,International,International,16542.0
OO,MKG,Domestic,Domestic,16517.0
OO,EVV,Domestic,Domestic,16503.0
YX,LIR,International,International,16495.0
ET,ORD,International,Domestic,16473.0
MQ,SAT,Domestic,Domestic,16471.0
DL,GLA,International,International,16470.0
AC,ANC,International,Domestic,16468.0
EV,ELP,Domestic,Domestic,16454.0
QX,FAI,Domestic,Domestic,16451.0
YX,HRL,Domestic,Domestic,16449.0
9E,CVG,International,Domestic,16412.0
9E,MOB,Domestic,Domestic,16406.0
OO,LAR,Domestic,Domestic,16400.0
KE,PUS,International,International,16378.0
G4,GJT,Domestic,Domestic,16368.0
5D,MID,International,International,16350.0
F9,FAT,Domestic,Domestic,16343.0
ZX,MCI,International,Domestic,16340.0
G7,BGR,Domestic,Domestic,16327.0
D8,FLL,International,Domestic,16315.0
OO,CKB,Domestic,Domestic,16292.0
YX,SAT,Domestic,Domestic,16287.0
AX,GSP,Domestic,Domestic,16250.0
G7,JAX,Domestic,Domestic,16229.0
OO,INL,Domestic,Domestic,16199.0
EV,PIT,Domestic,Domestic,16189.0
OH,JFK,Domestic,Domestic,16142.0
DY,LAS,International,Domestic,16132.0
ZW,DSM,Domestic,Domestic,16128.0
YX,ILM,Domestic,Domestic,16121.0
ZW,JAN,Domestic,Domestic,16074.0
G4,OGS,Domestic,Domestic,16047.0
CA,PVG,International,International,16044.0
2JQ,OAK,Domestic,Domestic,16000.0
YX,DRO,Domestic,Domestic,15989.0
9E,PHF,Domestic,Domestic,15982.0
OO,PHX,International,Domestic,15953.0
OO,PIB,Domestic,Domestic,15911.0
ZW,FAR,Domestic,Domestic,15902.0
AX,PWM,Domestic,Domestic,15901.0
DL,DSS,International,International,15898.0
MQ,ELP,Domestic,Domestic,15892.0
RV,PSP,International,Domestic,15856.0
OO,HMO,International,International,15815.0
MQ,MSO,Domestic,Domestic,15807.0
PT,HHH,Domestic,Domestic,15744.0
09Q,HOG,International,International,15735.0
DL,YUL,International,International,15715.0
MQ,LBB,Domestic,Domestic,15682.0
KV,SAT,International,Domestic,15679.0
YV,SHV,Domestic,Domestic,15637.0
09Q,CMW,International,International,15561.0
AS,ZLO,International,International,15545.0
EV,MHT,Domestic,Domestic,15512.0
AA,XNA,Domestic,Domestic,15511.0
PT,GSP,Domestic,Domestic,15505.0
F9,MDT,Domestic,Domestic,15453.0
G3,MCO,International,Domestic,15409.0
AX,ISN,Domestic,Domestic,15399.0
7H,BET,Domestic,Domestic,15399.0
OO,HDN,Domestic,Domestic,15396.0
9E,MCO,Domestic,Domestic,15388.0
QX,SBP,Domestic,Domestic,15348.0
OO,HIB,Domestic,Domestic,15324.0
G7,BZN,Domestic,Domestic,15316.0
AA,GSO,Domestic,Domestic,15202.0
UA,MAF,Domestic,Domestic,15188.0
9E,MLI,Domestic,Domestic,15169.0
MQ,AVP,Domestic,Domestic,15164.0
OO,BRO,Domestic,Domestic,15093.0
QK,YEG,International,International,15082.0
G7,ATW,Domestic,Domestic,15079.0
ZW,PVD,Domestic,Domestic,15075.0
F9,BIS,Domestic,Domestic,15069.0
G7,PHL,Domestic,Domestic,15055.0
DL,EGE,Domestic,Domestic,15046.0
EV,VER,International,International,15042.0
F9,PVR,International,International,14938.0
ZX,BWI,International,Domestic,14908.0
EV,PVD,Domestic,Domestic,14854.0
4B,ABQ,Domestic,Domestic,14820.0
OO,UIN,Domestic,Domestic,14795.0
RJ,DTW,International,Domestic,14788.0
MQ,ATW,Domestic,Domestic,14761.0
FI,BWI,International,Domestic,14748.0
F9,BOI,Domestic,Domestic,14744.0
WN,STL,International,Domestic,14741.0
OO,LBB,Domestic,Domestic,14715.0
ZW,MLI,Domestic,Domestic,14701.0
MQ,CRP,Domestic,Domestic,14690.0
TQQ,MCO,International,Domestic,14675.0
G7,PSC,Domestic,Domestic,14636.0
SY,HNL,Domestic,Domestic,14632.0
DL,BON,International,International,14624.0
D8,ORK,International,International,14622.0
YX,BHM,Domestic,Domestic,14621.0
7C,KIX,International,International,14618.0
SY,HRL,Domestic,Domestic,14580.0
AA,LBB,Domestic,Domestic,14566.0
AX,CMI,Domestic,Domestic,14546.0
FI,DFW,International,Domestic,14525.0
MQ,MFE,Domestic,Domestic,14518.0
G7,PWM,Domestic,Domestic,14498.0
EV,AVP,Domestic,Domestic,14467.0
F9,GSP,Domestic,Domestic,14454.0
TB,BRU,International,International,14427.0
5D,LAS,International,Domestic,14411.0
UA,ANU,International,International,14358.0
C5,CHO,Domestic,Domestic,14351.0
