Airline,Dest_Airport,Passengers
Jazz Aviation LP,SJC,59021.0
United Air Lines Inc.,POS,58920.0
Compass Airlines,DEN,58899.0
Westjet,IAH,58874.0
GoJet Airlines LLC d/b/a United Express,YUL,58745.0
United Air Lines Inc.,NGO,58651.0
Japan Air Lines Co. Ltd.,DFW,58554.0
China Airlines Ltd.,JFK,58448.0
United Air Lines Inc.,RIC,58390.0
Mesa Airlines Inc.,IND,58311.0
Jin Air Co Ltd.,GUM,58276.0
Air Wisconsin Airlines Corp,IND,58130.0
SkyWest Airlines Inc.,ISN,58080.0
Air Japan Co,HNL,58048.0
Republic Airline,BDL,57979.0
Mesa Airlines Inc.,RNO,57929.0
American Airlines Inc.,SXM,57870.0
Air Japan Co,NRT,57836.0
Mesa Airlines Inc.,VPS,57826.0
PSA Airlines Inc.,PWM,57794.0
Jeju Air Co Ltd.,GUM,57790.0
Endeavor Air Inc.,IAD,57759.0
Envoy Air,IAH,57639.0
United Air Lines Inc.,STI,57482.0
Envoy Air,AMA,57476.0
SkyWest Airlines Inc.,SHV,57336.0
Delta Air Lines Inc.,BZE,57220.0
Emirates,EWR,57110.0
Allegiant Air,SYR,56957.0
Emirates,FLL,56889.0
American Airlines Inc.,TGU,56736.0
Horizon Air,YYC,56704.0
Norwegian Air UK Limited,MCO,56619.0
Philippine Airlines Inc.,JFK,56608.0
ExpressJet Airlines LLC,LIT,56578.0
Icelandair,EWR,56572.0
Air Canada,SEA,56530.0
Air Tahiti Nui,LAX,56442.0
ExpressJet Airlines LLC,MKE,56375.0
SkyWest Airlines Inc.,DRO,56235.0
American Airlines Inc.,CZM,56213.0
Air Tahiti Nui,CDG,56104.0
Alaska Airlines Inc.,TUS,55931.0
Aeromexico,SJC,55786.0
"Porter Airlines, Inc.",IAD,55729.0
Westjet,RSW,55648.0
Allegiant Air,MSY,55597.0
Turk Hava Yollari A.O.,ATL,55562.0
GoJet Airlines LLC d/b/a United Express,CLE,55506.0
Envoy Air,BOS,55329.0
PSA Airlines Inc.,MDT,55318.0
GoJet Airlines LLC d/b/a United Express,IAD,55265.0
American Airlines Inc.,MUC,55263.0
Thomas Cook Airlines Uk Ltd.,LAS,55218.0
Delta Air Lines Inc.,UVF,55130.0
Delta Air Lines Inc.,FUK,55108.0
Alaska Airlines Inc.,OMA,55099.0
Sata Internacional,PDL,54983.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),ZCL,54981.0
All Nippon Airways Co.,SEA,54865.0
Lufthansa German Airlines,DUS,54862.0
Cathay Pacific Airways Ltd.,YVR,54844.0
"Mokulele Flight Services, Inc.",HNL,54788.0
American Airlines Inc.,LIR,54729.0
Endeavor Air Inc.,MSY,54673.0
British Airways Plc,SJC,54567.0
Allegiant Air,DSM,54539.0
GoJet Airlines LLC d/b/a United Express,RIC,54476.0
Frontier Airlines Inc.,TUL,54271.0
Delta Air Lines Inc.,GRB,54260.0
GoJet Airlines LLC d/b/a United Express,IND,54202.0
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",LAX,54107.0
Aeromexico,SMF,54074.0
SkyWest Airlines Inc.,YOW,54012.0
Delta Air Lines Inc.,LIS,53930.0
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",GDL,53895.0
PSA Airlines Inc.,LGA,53604.0
Envoy Air,BUF,53375.0
Austrian Airlines,IAD,53258.0
Envoy Air,STL,53224.0
Austrian Airlines,EWR,53220.0
Norwegian Air Shuttle ASA,BOS,53211.0
Endeavor Air Inc.,AGS,53182.0
Jetstar Airways Pty Limited,MEL,53077.0
Trans States Airlines,YUL,53019.0
United Air Lines Inc.,MAN,53012.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),SMF,53005.0
Norwegian Air International Ltd.,EDI,52968.0
Republic Airline,MAF,52815.0
Aerovias de Intergracian Regional,MIA,52809.0
Jazz Aviation LP,DCA,52704.0
ExpressJet Airlines LLC,PNS,52656.0
"Avior Airlines, C.A.",BLA,52633.0
Piedmont Airlines,SYR,52623.0
Republic Airline,ELP,52607.0
Envoy Air,SJT,52575.0
Alaska Airlines Inc.,OME,52542.0
SkyWest Airlines Inc.,BHM,52534.0
Air Canada,PBI,52469.0
Delta Air Lines Inc.,BTR,52454.0
PSA Airlines Inc.,ATL,52342.0
Lacsa,GUA,52337.0
Aerovias Nacl De Colombia,MCO,52307.0
Envoy Air,ACT,52267.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),DEN,52235.0
Envoy Air,DCA,52168.0
Mesa Airlines Inc.,DCA,52155.0
All Nippon Airways Co.,SJC,52103.0
Alaska Airlines Inc.,BRW,51973.0
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",LAS,51898.0
United Air Lines Inc.,GCM,51723.0
Mesa Airlines Inc.,BUF,51680.0
PSA Airlines Inc.,GRR,51668.0
ExpressJet Airlines LLC,LBB,51657.0
Compagnie Natl Air France,ORD,51502.0
JetBlue Airways,POP,51394.0
Sun Country Airlines d/b/a MN Airlines,PDX,51386.0
SkyWest Airlines Inc.,ORF,51317.0
SkyWest Airlines Inc.,DHN,51258.0
PSA Airlines Inc.,JAX,51098.0
Norwegian Air Shuttle ASA,MCO,51056.0
American Airlines Inc.,YUL,51056.0
ExpressJet Airlines LLC,GRK,51035.0
Spirit Air Lines,MDE,50977.0
Virgin America,SAN,50716.0
Aerolitoral,DFW,50579.0
JetBlue Airways,UVF,50550.0
Piedmont Airlines,ALB,50539.0
Endeavor Air Inc.,OMA,50462.0
Air Canada rouge LP,OGG,50420.0
Air Transat,FLL,50393.0
Aerolitoral,GDL,50284.0
Delta Air Lines Inc.,HKG,50251.0
"Mokulele Flight Services, Inc.",MKK,50247.0
Aer Lingus Plc,MCO,50243.0
SkyWest Airlines Inc.,MLU,50204.0
Lan Peru Airlines,MCO,50199.0
Japan Air Lines Co. Ltd.,KOA,50148.0
Mesa Airlines Inc.,CLE,50064.0
Envoy Air,YYC,50053.0
Aerolitoral,BJX,50049.0
Horizon Air,SAN,50041.0
"Eastern Airlines f/k/a Dynamic Airways, LLC",HAV,49983.0
Mesa Airlines Inc.,LFT,49979.0
Mesa Airlines Inc.,MOB,49922.0
Spirit Air Lines,GUA,49920.0
American Airlines Inc.,SNU,49918.0
Cayman Airways Limited,MIA,49749.0
Aerovias Nacl De Colombia,CTG,49743.0
Hainan Airlines Company Limited,LAX,49733.0
Sky Regional Airlines Inc.,IAH,49688.0
SkyWest Airlines Inc.,IAD,49660.0
Mesa Airlines Inc.,PNS,49543.0
Norwegian Air Shuttle ASA,MAD,49424.0
Icelandair,DEN,49342.0
Spirit Air Lines,IAG,49285.0
Trans States Airlines,YYZ,49171.0
Piedmont Airlines,PHF,49109.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),ONT,49106.0
Endeavor Air Inc.,MSN,49037.0
Condor Flugdienst,SEA,49026.0
PSA Airlines Inc.,MOB,49001.0
Republic Airline,MSN,48733.0
Piedmont Airlines,BUF,48720.0
Aerovias Nacl De Colombia,FLL,48709.0
American Airlines Inc.,BSB,48701.0
El Al Israel Airlines Ltd.,LAX,48663.0
Westjet,YWG,48640.0
United Air Lines Inc.,TUS,48637.0
Air Wisconsin Airlines Corp,TYS,48593.0
Endeavor Air Inc.,SAT,48536.0
ExpressJet Airlines LLC,MLU,48514.0
JetBlue Airways,UIO,48442.0
United Air Lines Inc.,BQN,48392.0
PSA Airlines Inc.,ALB,48349.0
American Airlines Inc.,CLO,48308.0
Finnair Oy,ORD,48258.0
Jin Air Co Ltd.,PUS,48208.0
JetBlue Airways,ACK,48174.0
United Air Lines Inc.,YEG,48171.0
Horizon Air,OAK,48170.0
Compania Panamena (Copa),LAS,48020.0
Alaska Airlines Inc.,ADQ,47978.0
"Commutair Aka Champlain Enterprises, Inc.",PWM,47903.0
Piedmont Airlines,CAE,47821.0
Hawaiian Airlines Inc.,AKL,47801.0
Compass Airlines,OKC,47724.0
Alia-(The) Royal Jordanian,JFK,47671.0
Norwegian Air Shuttle ASA,AMS,47662.0
ExpressJet Airlines LLC,GRR,47622.0
Southwest Airlines Co.,LIR,47565.0
Eurowings GmbH,JFK,47461.0
JetBlue Airways,LIM,47453.0
Delta Air Lines Inc.,SAP,47229.0
South African Airways,IAD,47157.0
Caribbean Airlines Limited,MIA,47116.0
Air Georgian,DTW,47054.0
Singapore Airlines Ltd.,IAH,46816.0
Austrian Airlines,JFK,46743.0
Mesa Airlines Inc.,BRO,46688.0
ExpressJet Airlines LLC,MEM,46598.0
Bahamasair Holding Limited,MCO,46591.0
Mesa Airlines Inc.,PSP,46571.0
Westjet,TPA,46452.0
Alaska Airlines Inc.,MKE,46432.0
Horizon Air,BUR,46401.0
Singapore Airlines Ltd.,MAN,46342.0
Delta Air Lines Inc.,HPN,46297.0
Jazz Aviation LP,IAH,46255.0
Endeavor Air Inc.,MEM,46211.0
Aerovias Nacl De Colombia,CLO,46174.0
Polskie Linie Lotnicze,LAX,46104.0
Compass Airlines,OAK,46066.0
Delta Air Lines Inc.,CZM,46004.0
Delta Air Lines Inc.,COS,45994.0
Compass Airlines,YYJ,45940.0
Republic Airline,ALB,45922.0
GoJet Airlines LLC d/b/a United Express,SJC,45846.0
GoJet Airlines LLC d/b/a United Express,MCI,45830.0
Delta Air Lines Inc.,KIN,45762.0
Alaska Airlines Inc.,OTZ,45734.0
Endeavor Air Inc.,SHV,45694.0
Westjet,BNA,45678.0
Endeavor Air Inc.,BDL,45645.0
Icelandair,MSP,45500.0
Klm Royal Dutch Airlines,MSP,45357.0
Envoy Air,TYR,45302.0
American Airlines Inc.,GRR,45262.0
Air Georgian,RDU,45258.0
Horizon Air,YEG,45084.0
Envoy Air,SHV,45032.0
"Commutair Aka Champlain Enterprises, Inc.",ROC,44988.0
GoJet Airlines LLC d/b/a United Express,GRR,44968.0
Aeromexico,SEA,44902.0
Aerovias de Intergracian Regional,BOG,44898.0
"Commutair Aka Champlain Enterprises, Inc.",RIC,44881.0
Republic Airline,PLS,44826.0
Air Canada,YOW,44817.0
Jazz Aviation LP,EWR,44791.0
American Airlines Inc.,HOG,44710.0
JetBlue Airways,SXM,44637.0
Air Georgian,IAD,44598.0
Mesa Airlines Inc.,YOW,44586.0
American Airlines Inc.,CAE,44579.0
Mesa Airlines Inc.,SAT,44546.0
Omni Air International LLC,HNL,44508.0
Horizon Air,YLW,44450.0
United Air Lines Inc.,PLS,44415.0
American Airlines Inc.,MYR,44259.0
Delta Air Lines Inc.,PTY,44228.0
Envoy Air,SUX,44223.0
Spirit Air Lines,PTY,44214.0
Air Georgian,BNA,44159.0
Frontier Airlines Inc.,PIT,44150.0
Polskie Linie Lotnicze,EWR,44081.0
Air Canada,BOS,43995.0
PSA Airlines Inc.,OMA,43941.0
Omni Air International LLC,LAS,43854.0
SkyWest Airlines Inc.,ALB,43806.0
Spirit Air Lines,PAP,43605.0
JetBlue Airways,GCM,43596.0
GoJet Airlines LLC d/b/a United Express,BUF,43575.0
American Airlines Inc.,BTV,43472.0
Mesa Airlines Inc.,ONT,43462.0
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CCS,43421.0
Hainan Airlines Company Limited,SJC,43405.0
Spirit Air Lines,STT,43366.0
SkyWest Airlines Inc.,YXE,43339.0
SkyWest Airlines Inc.,LIT,43332.0
Frontier Airlines Inc.,MYR,43313.0
Republic Airline,RIC,43299.0
United Air Lines Inc.,MGA,43230.0
Sun Country Airlines d/b/a MN Airlines,SAN,43151.0
Aeroflot Russian Airlines,MIA,42959.0
Allegiant Air,MFE,42900.0
Air Wisconsin Airlines Corp,PHL,42763.0
Virgin America,FLL,42743.0
Westjet,JFK,42740.0
Air Georgian,PIT,42703.0
Jeju Air Co Ltd.,SPN,42679.0
Endeavor Air Inc.,ILM,42607.0
Brussels Airlines N.V.,IAD,42562.0
United Air Lines Inc.,OKC,42530.0
Lacsa,JFK,42497.0
Delta Air Lines Inc.,ILM,42476.0
American Airlines Inc.,ZRH,42255.0
Sun Country Airlines d/b/a MN Airlines,TPA,42239.0
Delta Air Lines Inc.,ACC,42196.0
Envoy Air,CHS,42186.0
Piedmont Airlines,PWM,42129.0
Westjet,SNA,42098.0
British Airways Plc,MSY,42074.0
JetBlue Airways,ABQ,42021.0
"Commutair Aka Champlain Enterprises, Inc.",SYR,41983.0
Republic Airline,PNS,41966.0
Envoy Air,TUL,41935.0
ExpressJet Airlines LLC,CAE,41915.0
Endeavor Air Inc.,TLH,41695.0
American Airlines Inc.,GND,41681.0
Westjet,SAN,41659.0
South African Airways,ACC,41653.0
Aeromexico,BOS,41651.0
JetBlue Airways,MDE,41587.0
Compass Airlines,IAH,41576.0
Air Wisconsin Airlines Corp,MSN,41568.0
Envoy Air,QRO,41552.0
Norwegian Air UK Limited,FLL,41547.0
Airitaly S.P.A.,JFK,41543.0
Envoy Air,ALB,41541.0
Aeromexico,PDX,41487.0
Air Serbia,JFK,41462.0
Aer Lingus Plc,BDL,41366.0
"Commutair Aka Champlain Enterprises, Inc.",BUF,41287.0
United Air Lines Inc.,UIO,41237.0
"Commutair Aka Champlain Enterprises, Inc.",BTV,41160.0
Delta Air Lines Inc.,PAP,41154.0
Cape Air,SJU,41143.0
Air Georgian,CLE,41106.0
Delta Air Lines Inc.,GDL,41042.0
Empire Airlines Inc.,LNY,41033.0
Mesa Airlines Inc.,SLC,41025.0
Alaska Airlines Inc.,LIR,41005.0
Ethiopian Airlines,EWR,40959.0
ExpressJet Airlines LLC,YQB,40952.0
Mesa Airlines Inc.,MSY,40932.0
United Air Lines Inc.,HAV,40929.0
American Airlines Inc.,VRA,40859.0
Air Busan,GUM,40844.0
Sunwing Airlines Inc.,YYZ,40833.0
Mesa Airlines Inc.,BDL,40798.0
Endeavor Air Inc.,CHS,40715.0
Trans States Airlines,SAF,40715.0
"Commutair Aka Champlain Enterprises, Inc.",STL,40713.0
Aeromexico,FAT,40707.0
Lufthansa German Airlines,SAN,40682.0
Piedmont Airlines,MKE,40618.0
ExpressJet Airlines LLC,YOW,40590.0
Horizon Air,MSP,40539.0
Mesa Airlines Inc.,BTV,40469.0
Norwegian Air International Ltd.,SNN,40405.0
Southwest Airlines Co.,GCM,40339.0
ExpressJet Airlines LLC,OMA,40271.0
United Air Lines Inc.,AKL,40250.0
Envoy Air,ATL,40198.0
GoJet Airlines LLC d/b/a United Express,CMH,40124.0
Envoy Air,PVD,40112.0
Delux Public Charter LLC,BUR,40074.0
Piedmont Airlines,YUL,40031.0
National Aviation Company of India Limited d/b/a Air India,IAD,39989.0
Air Busan,PUS,39933.0
China Eastern Airlines,SPN,39815.0
United Air Lines Inc.,MYR,39756.0
"Xiamen Airlines Co., Ltd.",FOC,39673.0
China Eastern Airlines,PEK,39672.0
Mesa Airlines Inc.,SLP,39666.0
Austrian Airlines,ORD,39633.0
SkyWest Airlines Inc.,MTY,39589.0
Allegiant Air,PBG,39514.0
SkyWest Airlines Inc.,YUL,39476.0
ExpressJet Airlines LLC,PWM,39393.0
Mesa Airlines Inc.,BTR,39299.0
Air Transat,MCO,39211.0
Compass Airlines,ELP,39199.0
Envoy Air,COU,39164.0
JetBlue Airways,GND,39133.0
"Xiamen Airlines Co., Ltd.",JFK,39121.0
Aerolitoral,LAX,39051.0
SkyWest Airlines Inc.,SAF,39003.0
Air Wisconsin Airlines Corp,RIC,38966.0
ExpressJet Airlines LLC,CRP,38942.0
Piedmont Airlines,YOW,38901.0
Silver Airways,MHH,38835.0
Taca International Airlines,SAP,38816.0
Hong Kong Airlines Limited,SPN,38722.0
Aerovias Nacl De Colombia,BAQ,38697.0
ExpressJet Airlines LLC,BNA,38683.0
Delta Air Lines Inc.,NCE,38638.0
Hainan Airlines Company Limited,CTU,38591.0
United Air Lines Inc.,TUL,38585.0
GoJet Airlines LLC d/b/a United Express,ORF,38527.0
Sky Regional Airlines Inc.,BWI,38514.0
ExpressJet Airlines LLC,LFT,38512.0
Delta Air Lines Inc.,MOB,38477.0
Air Wisconsin Airlines Corp,HPN,38407.0
Air Serbia,BEG,38379.0
GoJet Airlines LLC d/b/a United Express,MDW,38352.0
WOW Air ehf,PIT,38235.0
Envoy Air,DTW,38202.0
Mesa Airlines Inc.,LIT,38095.0
Allegiant Air,BWI,38093.0
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",PUJ,38081.0
Aerovias Nacl De Colombia,IAD,38021.0
Endeavor Air Inc.,RSW,37877.0
ExpressJet Airlines LLC,LRD,37858.0
Allegiant Air,RDU,37839.0
ExpressJet Airlines LLC,CLL,37817.0
Endeavor Air Inc.,GRB,37687.0
Mesa Airlines Inc.,MZT,37664.0
Azul Linhas Aereas Brazileiras S A,CNF,37652.0
SkyWest Airlines Inc.,CPR,37598.0
Alaska Airlines Inc.,ABQ,37596.0
Philippine Airlines Inc.,YVR,37402.0
American Airlines Inc.,MFE,37398.0
"Mokulele Flight Services, Inc.",KOA,37296.0
SkyWest Airlines Inc.,ELP,37290.0
American Airlines Inc.,ANC,37174.0
Delta Air Lines Inc.,BTV,37134.0
GoJet Airlines LLC d/b/a United Express,MSN,37035.0
Endeavor Air Inc.,CHA,37001.0
Royal Air Maroc,IAD,36990.0
"Commutair Aka Champlain Enterprises, Inc.",ORF,36989.0
Air Wisconsin Airlines Corp,ILM,36976.0
Spirit Air Lines,PBG,36975.0
Air Georgian,CMH,36928.0
Allegiant Air,OKC,36849.0
Mesa Airlines Inc.,PVD,36839.0
SkyWest Airlines Inc.,ROC,36820.0
Alaska Airlines Inc.,CDV,36771.0
Jazz Aviation LP,DEN,36765.0
Condor Flugdienst,LAS,36709.0
China Southern Airlines,WUH,36695.0
"Commutair Aka Champlain Enterprises, Inc.",JAX,36682.0
Allegiant Air,RNO,36655.0
Spirit Air Lines,MGA,36395.0
GoJet Airlines LLC d/b/a United Express,SAT,36358.0
American Airlines Inc.,CTG,36347.0
Piedmont Airlines,CLE,36333.0
Virgin America,IAD,36292.0
Scandinavian Airlines Sys.,MIA,36246.0
Cape Air,BOS,36216.0
Norwegian Air UK Limited,SEA,36196.0
Aer Lingus Plc,PHL,36005.0
Piedmont Airlines,FLO,35990.0
Air Wisconsin Airlines Corp,SAV,35957.0
Fly Jamaica Airways Limited,JFK,35916.0
Delta Air Lines Inc.,EDI,35901.0
Envoy Air,TXK,35882.0
American Airlines Inc.,CAP,35842.0
Hainan Airlines Company Limited,ORD,35840.0
SkyWest Airlines Inc.,JAX,35812.0
Hainan Airlines Company Limited,JFK,35770.0
Air Wisconsin Airlines Corp,LNK,35719.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),SFO,35627.0
Frontier Airlines Inc.,RNO,35558.0
Air Transat,YUL,35520.0
PSA Airlines Inc.,MLB,35518.0
El Al Israel Airlines Ltd.,MIA,35473.0
Air Canada rouge LP,RSW,35444.0
United Air Lines Inc.,ICT,35425.0
Delta Air Lines Inc.,TGU,35310.0
Delta Air Lines Inc.,GNV,35273.0
Allegiant Air,TUL,35241.0
Trans States Airlines,BDL,35224.0
"Seaborne Virgin Islands, Inc.",STT,35203.0
"Xiamen Airlines Co., Ltd.",XMN,35146.0
ExpressJet Airlines LLC,SAF,35135.0
ExpressJet Airlines LLC,MAF,35010.0
American Airlines Inc.,MAR,34980.0
PSA Airlines Inc.,OKC,34966.0
Delta Air Lines Inc.,TXL,34958.0
Endeavor Air Inc.,CMH,34909.0
Taca International Airlines,EWR,34892.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),SAT,34888.0
Compagnie Natl Air France,SEA,34869.0
Alaska Airlines Inc.,CHS,34805.0
Piedmont Airlines,ISP,34799.0
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",CCS,34652.0
Piedmont Airlines,SWF,34622.0
Envoy Air,LRD,34611.0
Jazz Aviation LP,ORD,34546.0
Southwest Airlines Co.,PLS,34539.0
Hawaiian Airlines Inc.,CTS,34511.0
Trans States Airlines,PVD,34484.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),PDX,34439.0
SkyWest Airlines Inc.,BTR,34388.0
Air Georgian,STL,34373.0
Horizon Air,FAT,34373.0
Allegiant Air,BNA,34308.0
Hawaiian Airlines Inc.,BNE,34288.0
GoJet Airlines LLC d/b/a United Express,SYR,34260.0
Westjet,YHZ,34185.0
ExpressJet Airlines LLC,SAV,34183.0
Aerovias Nacl De Colombia,SJU,34158.0
American Airlines Inc.,LIS,34124.0
Delta Air Lines Inc.,ONT,34018.0
Mesa Airlines Inc.,COU,33920.0
American Airlines Inc.,BAQ,33869.0
ExpressJet Airlines LLC,AMA,33850.0
Alaska Airlines Inc.,MZT,33816.0
Virgin America,PDX,33772.0
ExpressJet Airlines LLC,PHF,33761.0
Jazz Aviation LP,YHZ,33566.0
Delta Air Lines Inc.,PRG,33532.0
ExpressJet Airlines LLC,BRO,33516.0
SkyWest Airlines Inc.,BJX,33503.0
Air Canada,MCO,33468.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),PHX,33467.0
"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",HOM,33347.0
TEM Enterprises dba  Avelo Airlines,MIA,33324.0
Norwegian Air UK Limited,DEN,33202.0
Piedmont Airlines,ORF,33198.0
SkyWest Airlines Inc.,PVD,33173.0
Trans States Airlines,CPR,33058.0
United Air Lines Inc.,CZM,33047.0
Sun Country Airlines d/b/a MN Airlines,PUJ,33012.0
Endeavor Air Inc.,CAE,32946.0
Air Georgian,CVG,32918.0
Virgin America,BOS,32916.0
Lufthansa German Airlines,SJC,32913.0
Hawaiian Airlines Inc.,LGB,32909.0
United Air Lines Inc.,TGU,32872.0
United Air Lines Inc.,MID,32863.0
SkyWest Airlines Inc.,LFT,32811.0
United Air Lines Inc.,MDT,32707.0
Saudi Arabian Airlines Corp,LAX,32693.0
United Air Lines Inc.,SNN,32676.0
Endeavor Air Inc.,BTR,32668.0
United Air Lines Inc.,SPN,32628.0
Fly Jamaica Airways Limited,KIN,32494.0
SkyWest Airlines Inc.,OAK,32491.0
Spirit Air Lines,CTG,32459.0
SkyWest Airlines Inc.,MQT,32442.0
Alaska Airlines Inc.,ZIH,32401.0
Cape Air,STT,32379.0
Trans States Airlines,GTF,32377.0
American Airlines Inc.,CNF,32332.0
Compania Panamena (Copa),FLL,32323.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),MCO,32216.0
French bee,SFO,32189.0
Envoy Air,AEX,32180.0
SkyWest Airlines Inc.,PWM,31955.0
Alaska Airlines Inc.,BLI,31907.0
Compass Airlines,YEG,31883.0
Elysair d/b/a L'Avion,ORY,31811.0
"Xiamen Airlines Co., Ltd.",TAO,31719.0
Polskie Linie Lotnicze,BUD,31697.0
Air Wisconsin Airlines Corp,GRB,31696.0
Envoy Air,LFT,31678.0
Dreamjet SAS Dba La Compagnie,EWR,31620.0
Hong Kong Express Airways Limited,HKG,31610.0
Trans States Airlines,CLE,31607.0
GoJet Airlines LLC d/b/a United Express,CHS,31607.0
Air Wisconsin Airlines Corp,GRR,31593.0
United Air Lines Inc.,POP,31568.0
SkyWest Airlines Inc.,AEX,31528.0
Silver Airways,PNS,31499.0
Spirit Air Lines,GYE,31480.0
SkyWest Airlines Inc.,AGS,31406.0
"Seaborne Virgin Islands, Inc.",STX,31333.0
Envoy Air,AGU,31289.0
Trans States Airlines,JFK,31228.0
Air Wisconsin Airlines Corp,ROC,31225.0
Air Transat,YYZ,31221.0
Allegiant Air,SAN,31204.0
Norwegian Air International Ltd.,JFK,31174.0
Frontier Airlines Inc.,ELP,31173.0
Envoy Air,JAN,31141.0
American Airlines Inc.,AKL,31123.0
Allegiant Air,ORF,31099.0
Hainan Airlines Company Limited,CKG,31048.0
Delux Public Charter LLC,LAS,30955.0
Envoy Air,ILM,30906.0
United Air Lines Inc.,VCE,30873.0
ExpressJet Airlines LLC,ORF,30814.0
Sunwing Airlines Inc.,MCO,30797.0
Delta Air Lines Inc.,PSP,30771.0
United Air Lines Inc.,ITO,30745.0
Republic Airline,ICT,30718.0
Air Georgian,IND,30667.0
ExpressJet Airlines LLC,VPS,30646.0
Compass Airlines,TUS,30620.0
Air Wisconsin Airlines Corp,CMH,30563.0
French bee,ORY,30527.0
Frontier Airlines Inc.,PWM,30496.0
SkyWest Airlines Inc.,YYJ,30467.0
Horizon Air,GTF,30424.0
Alaska Airlines Inc.,YAK,30338.0
Delta Air Lines Inc.,LFT,30333.0
United Air Lines Inc.,RTB,30317.0
Aer Lingus Plc,MIA,30315.0
Aeromexico,IAD,30241.0
American Airlines Inc.,MAO,30240.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),MIA,30171.0
Sun Country Airlines d/b/a MN Airlines,ANC,30055.0
Alaska Airlines Inc.,SJO,30031.0
Frontier Airlines Inc.,SYR,30030.0
ABC Aerolineas SA de CV dba Interjet,BJX,29976.0
Delta Air Lines Inc.,SXM,29943.0
British Airways Plc,FLL,29934.0
Envoy Air,SPS,29895.0
United Air Lines Inc.,FUK,29883.0
Allegiant Air,BOI,29824.0
Empire Airlines Inc.,MKK,29701.0
Frontier Airlines Inc.,BHM,29679.0
SkyWest Airlines Inc.,GNV,29664.0
Virgin America,PSP,29656.0
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",MTY,29623.0
SkyWest Airlines Inc.,BDL,29584.0
Taca International Airlines,GUA,29548.0
ExpressJet Airlines LLC,AEX,29531.0
Thomas Cook Airlines Uk Ltd.,LGW,29522.0
Envoy Air,CLL,29518.0
Sunwing Airlines Inc.,FLL,29493.0
Trans States Airlines,LNK,29445.0
Compagnie Natl Air France,MSP,29417.0
Silver Airways,TLH,29365.0
Austrian Airlines,MIA,29326.0
Eurowings GmbH,MIA,29282.0
Sky Regional Airlines Inc.,MSY,29180.0
GoJet Airlines LLC d/b/a United Express,DAY,29150.0
JetBlue Airways,STX,29149.0
Mesa Airlines Inc.,SAV,29121.0
Allegiant Air,MDT,29097.0
Mesa Airlines Inc.,COS,29053.0
Allegiant Air,CHS,29049.0
United Air Lines Inc.,TKK,29002.0
Trans States Airlines,DAY,28994.0
Envoy Air,LCH,28975.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),SEA,28963.0
British Airways Plc,BNA,28939.0
Sun Country Airlines d/b/a MN Airlines,DEN,28921.0
Compania Panamena (Copa),TPA,28852.0
Piedmont Airlines,BGR,28846.0
ExpressJet Airlines LLC,ROC,28829.0
ExpressJet Airlines LLC,DAY,28784.0
Primera Air Scandinavia,EWR,28779.0
American Airlines Inc.,EDI,28771.0
Mesa Airlines Inc.,FSM,28713.0
GoJet Airlines LLC d/b/a United Express,DSM,28650.0
SkyWest Airlines Inc.,SWF,28633.0
Hainan Airlines Company Limited,LAS,28558.0
JetBlue Airways,LIR,28508.0
GoJet Airlines LLC d/b/a United Express,IAH,28459.0
China Airlines Ltd.,GUM,28397.0
Mesa Airlines Inc.,CHA,28336.0
Mesa Airlines Inc.,BFL,28322.0
ABC Aerolineas SA de CV dba Interjet,SFO,28282.0
Aerolitoral,QRO,28267.0
Trans States Airlines,DSM,28223.0
Piedmont Airlines,BDL,28205.0
Compass Airlines,OMA,28195.0
Norwegian Air International Ltd.,PTP,28190.0
Eurowings GmbH,RSW,28120.0
Ethiopian Airlines,LAX,28100.0
ExpressJet Airlines LLC,AGU,28085.0
Delta Air Lines Inc.,YEG,28066.0
Icelandair,MCO,28013.0
ExpressJet Airlines LLC,LCH,27941.0
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",IAH,27921.0
Sichuan Airlines Co Ltd.,LAX,27700.0
GoJet Airlines LLC d/b/a United Express,BNA,27695.0
"Commutair Aka Champlain Enterprises, Inc.",MDT,27654.0
