Airline,Dest_Airport,Passengers
Delta Air Lines Inc.,RDU,1154403.0
Sun Country Airlines d/b/a MN Airlines,MSP,1148697.0
Aeromexico,MEX,1138185.0
United Air Lines Inc.,LGA,1121962.0
JetBlue Airways,EWR,1119645.0
Southwest Airlines Co.,PHL,1117445.0
American Airlines Inc.,CUN,1114477.0
SkyWest Airlines Inc.,DTW,1101651.0
Piedmont Airlines,PHL,1086570.0
United Air Lines Inc.,FLL,1069805.0
Delta Air Lines Inc.,CVG,1069044.0
United Air Lines Inc.,LHR,1067940.0
United Air Lines Inc.,PDX,1062629.0
Cathay Pacific Airways Ltd.,HKG,1055994.0
Republic Airline,ORD,1050364.0
Mesa Airlines Inc.,PHX,1046229.0
Delta Air Lines Inc.,ORD,1045316.0
United Air Lines Inc.,TPA,1044653.0
United Air Lines Inc.,PHX,1044371.0
Turk Hava Yollari A.O.,IST,1041015.0
Klm Royal Dutch Airlines,AMS,1034948.0
United Air Lines Inc.,CUN,1032686.0
Delta Air Lines Inc.,MSY,1025663.0
Aer Lingus Plc,DUB,1011540.0
American Airlines Inc.,EWR,1006776.0
Republic Airline,MIA,999307.0
Southwest Airlines Co.,MSP,991057.0
Air Canada rouge LP,YYZ,989578.0
American Airlines Inc.,FLL,988323.0
Eva Airways Corporation,TPE,986973.0
Delta Air Lines Inc.,AUS,984469.0
Republic Airline,PHL,977478.0
Alaska Airlines Inc.,LAS,957270.0
American Airlines Inc.,SAT,950102.0
Endeavor Air Inc.,DTW,940601.0
Qatar Airways (Q.C.S.C),DOH,928304.0
Delta Air Lines Inc.,BWI,928290.0
United Air Lines Inc.,AUS,927288.0
Hawaiian Airlines Inc.,LIH,924046.0
Horizon Air,PDX,919080.0
Delta Air Lines Inc.,RSW,914274.0
Philippine Airlines Inc.,MNL,913302.0
JetBlue Airways,PBI,910019.0
American Airlines Inc.,IAH,909433.0
Southwest Airlines Co.,RNO,898231.0
JetBlue Airways,DCA,892405.0
Westjet,YYZ,891975.0
Southwest Airlines Co.,RSW,885770.0
American Airlines Inc.,MSP,885289.0
